Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-31,Q1 25,1900-12-24,,2.297,,0
2024-11-01,Q4 24,1900-09-24,,1.556,,0
2024-08-02,Q3 24,1900-06-24,,1.345,,0
2024-05-03,Q2 24,1900-03-24,,1.531,,0
2024-02-01,Q1 24,1900-12-23,2.18,2.105,3.56%,1
2023-11-02,Q4 23,1900-09-23,1.46,1.394,4.73%,1
2023-08-03,Q3 23,1900-07-23,1.26,1.205,4.56%,1
2023-05-04,Q2 23,1900-04-23,1.52,1.433,6.07%,1
2023-02-02,Q1 23,1900-12-22,1.88,1.941,-3.14%,0
2022-10-27,Q4 22,1900-09-22,1.29,1.264,2.06%,1
2022-07-28,Q3 22,1900-06-22,1.2,1.158,3.63%,1
2022-04-28,Q2 22,1900-03-22,1.52,1.423,6.82%,1
2022-01-27,Q1 22,1900-12-21,2.1,1.9,10.53%,1
2021-10-28,Q4 21,1900-09-21,1.24,1.236,-0.05%,0
2021-07-27,Q3 21,1900-06-21,1.3,1.013,27.91%,1
2021-04-28,Q2 21,1900-03-21,1.396,0.991,40.85%,1
2021-01-27,Q1 21,1900-12-20,1.675,1.417,18.58%,1
2020-10-29,Q4 20,1900-09-20,0.726,0.702,4.61%,1
2020-07-30,Q3 20,1900-06-20,0.644,0.518,24.71%,1
2020-04-30,Q2 20,1900-03-20,0.642,0.564,13.20%,1
2020-01-28,Q1 20,1900-12-19,1.247,1.142,9.28%,1
2019-10-30,Q4 19,1900-09-19,0.759,0.711,6.46%,1
2019-07-30,Q3 19,1900-06-19,0.544,0.525,3.94%,1
2019-04-30,Q2 19,1900-03-19,0.617,0.593,3.69%,1
2019-01-29,Q1 19,1900-12-18,1.047,1.042,0.35%,1
2018-11-01,Q4 18,1900-09-18,0.729,0.695,4.81%,1
2018-07-31,Q3 18,1900-06-18,0.577,0.546,5.32%,1
2018-05-01,Q2 18,1900-03-18,0.684,0.66,3.30%,1
2018-02-01,Q1 18,1900-12-17,0.969,0.961,1.20%,1
2017-11-02,Q4 17,1900-09-17,0.495,0.468,10.41%,1
2017-08-01,Q3 17,1900-07-17,0.416,0.394,5.69%,1
2017-05-02,Q2 17,1900-04-17,0.524,0.506,3.56%,1
2017-01-31,Q1 17,1900-12-16,0.841,0.806,4.15%,1
2016-10-25,Q4 16,1900-09-16,0.416,0.415,0.60%,1
2016-07-26,Q3 16,1900-06-16,0.354,0.347,2.01%,1
2016-04-26,Q2 16,1900-03-16,0.477,0.501,-5.19%,0
2016-01-26,Q1 16,1900-12-15,0.806,0.806,1.74%,1
2015-10-27,Q4 15,1900-09-15,0.492,0.471,4.03%,1
2015-07-21,Q3 15,1900-06-15,0.463,0.453,2.10%,1
2015-04-27,Q2 15,1900-03-15,0.584,0.541,7.67%,1
2015-01-27,Q1 15,1900-12-14,0.764,0.65,17.69%,1
2014-10-20,Q4 14,1900-09-14,0.353,0.326,8.90%,1
2014-07-22,Q3 14,1900-06-14,0.319,0.309,3.56%,1
2014-04-23,Q2 14,1900-03-14,0.413,0.364,14.01%,1
2014-01-27,Q1 14,1900-12-13,0.517,0.502,3.16%,1
2013-10-28,Q4 13,1900-09-13,0.295,0.283,4.24%,1
2013-07-23,Q3 13,1900-06-13,0.267,0.262,1.83%,1
2013-04-23,Q2 13,1900-03-13,0.36,0.357,0.94%,1
