Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-31,Q1 25,1900-12-24,,125.420B,,0
2024-11-01,Q4 24,1900-09-24,,93.682B,,0
2024-08-02,Q3 24,1900-06-24,,84.511B,,0
2024-05-03,Q2 24,1900-03-24,,91.707B,,0
2024-02-01,Q1 24,1900-12-23,119.575B,117.916B,1.41%,1
2023-11-02,Q4 23,1900-09-23,89.498B,89.351B,0.16%,1
2023-08-03,Q3 23,1900-07-23,81.797B,81.555B,0.30%,1
2023-05-04,Q2 23,1900-04-23,94.836B,92.600B,2.41%,1
2023-02-02,Q1 23,1900-12-22,117.154B,121.136B,-3.29%,0
2022-10-27,Q4 22,1900-09-22,90.146B,88.638B,1.70%,1
2022-07-28,Q3 22,1900-06-22,82.959B,82.760B,0.24%,1
2022-04-28,Q2 22,1900-03-22,97.278B,93.984B,3.51%,1
2022-01-27,Q1 22,1900-12-21,123.945B,119.045B,4.12%,1
2021-10-28,Q4 21,1900-09-21,83.360B,84.587B,-1.45%,0
2021-07-27,Q3 21,1900-06-21,81.434B,73.815B,10.32%,1
2021-04-28,Q2 21,1900-03-21,89.584B,77.302B,15.89%,1
2021-01-27,Q1 21,1900-12-20,111.439B,103.116B,8.07%,1
2020-10-29,Q4 20,1900-09-20,64.698B,63.467B,1.94%,1
2020-07-30,Q3 20,1900-06-20,59.685B,52.299B,14.12%,1
2020-04-30,Q2 20,1900-03-20,58.313B,54.245B,7.50%,1
2020-01-28,Q1 20,1900-12-19,91.819B,88.405B,3.86%,1
2019-10-30,Q4 19,1900-09-19,64.040B,63.006B,1.64%,1
2019-07-30,Q3 19,1900-06-19,53.809B,53.355B,0.85%,1
2019-04-30,Q2 19,1900-03-19,58.015B,57.488B,0.92%,1
2019-01-29,Q1 19,1900-12-18,84.310B,83.972B,0.40%,1
2018-11-01,Q4 18,1900-09-18,62.900B,61.445B,2.37%,1
2018-07-31,Q3 18,1900-06-18,53.265B,52.424B,1.60%,1
2018-05-01,Q2 18,1900-03-18,61.137B,60.822B,0.52%,1
2018-02-01,Q1 18,1900-12-17,88.293B,87.376B,1.05%,1
2017-11-02,Q4 17,1900-09-17,52.579B,50.700B,3.71%,1
2017-08-01,Q3 17,1900-07-17,45.408B,44.945B,1.03%,1
2017-05-02,Q2 17,1900-04-17,52.896B,53.065B,-0.32%,0
2017-01-31,Q1 17,1900-12-16,78.351B,77.272B,1.40%,1
2016-10-25,Q4 16,1900-09-16,46.852B,46.962B,-0.23%,0
2016-07-26,Q3 16,1900-06-16,42.358B,42.059B,0.71%,1
2016-04-26,Q2 16,1900-03-16,50.557B,51.997B,-2.77%,0
2016-01-26,Q1 16,1900-12-15,75.872B,76.521B,-0.85%,0
2015-10-27,Q4 15,1900-09-15,51.501B,51.043B,0.90%,1
2015-07-21,Q3 15,1900-06-15,49.605B,49.353B,0.51%,1
2015-04-27,Q2 15,1900-03-15,58.010B,56.027B,3.54%,1
2015-01-27,Q1 15,1900-12-14,74.599B,67.516B,10.49%,1
2014-10-20,Q4 14,1900-09-14,42.123B,39.908B,5.55%,1
2014-07-22,Q3 14,1900-06-14,37.432B,37.940B,-1.34%,0
2014-04-23,Q2 14,1900-03-14,45.646B,43.550B,4.81%,1
2014-01-27,Q1 14,1900-12-13,57.594B,57.470B,0.22%,1
2013-10-28,Q4 13,1900-09-13,37.472B,36.849B,1.69%,1
2013-07-23,Q3 13,1900-06-13,35.323B,35.064B,0.74%,1
2013-04-23,Q2 13,1900-03-13,43.603B,42.252B,3.20%,1
