Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-31,Q4 24,1900-12-24,,1.49,,0
2024-10-25,Q3 24,1900-09-24,,1.357,,0
2024-08-02,Q2 24,1900-06-24,,1.225,,0
2024-04-26,Q1 24,1900-03-24,,1.027,,0
2024-02-01,Q4 23,1900-12-23,1.033,1.041,54.11%,1
2023-10-26,Q3 23,1900-09-23,0.862,0.918,52.29%,1
2023-08-03,Q2 23,1900-06-23,0.636,0.633,107.42%,1
2023-04-27,Q1 23,1900-03-23,0.401,0.481,59.85%,1
2023-02-02,Q4 22,1900-12-22,0.228,0.531,40.69%,1
2022-10-27,Q3 22,1900-09-22,0.196,0.441,65.91%,1
2022-07-28,Q2 22,1900-06-22,0.103,0.496,24.08%,1
2022-04-28,Q1 22,1900-03-22,0.212,0.631,-15.78%,0
2022-02-03,Q4 21,1900-12-21,0.481,0.389,116.24%,1
2021-10-28,Q3 21,1900-09-21,0.306,0.662,-53.71%,0
2021-07-29,Q2 21,1900-06-21,0.76,0.788,-4.06%,0
2021-04-29,Q1 21,1900-03-21,0.79,0.657,20.17%,1
2021-02-02,Q4 20,1900-12-20,0.705,0.513,37.33%,1
2020-10-29,Q3 20,1900-09-20,0.618,0.566,9.28%,1
2020-07-30,Q2 20,1900-06-20,0.515,0.358,43.85%,1
2020-04-30,Q1 20,1900-03-20,0.251,0.453,-44.70%,0
2020-01-30,Q4 19,1900-12-19,0.324,0.354,-8.62%,0
2019-10-24,Q3 19,1900-09-19,0.212,0.377,-43.90%,0
2019-07-25,Q2 19,1900-06-19,0.261,0.407,-35.87%,0
2019-04-25,Q1 19,1900-03-19,0.355,0.351,1.00%,1
2019-01-31,Q4 18,1900-12-18,0.302,0.398,-24.12%,0
2018-10-25,Q3 18,1900-09-18,0.288,0.282,1.95%,1
2018-07-26,Q2 18,1900-06-18,0.254,0.253,0.20%,1
2018-04-26,Q1 18,1900-03-18,0.164,0.156,64.99%,1
2018-02-01,Q4 17,1900-12-17,0.108,0.191,-3.24%,0
2017-10-26,Q3 17,1900-09-17,0.026,0.088,10.56%,1
2017-07-27,Q2 17,1900-06-17,0.02,0.153,-36.92%,0
2017-04-27,Q1 17,1900-03-17,0.074,0.119,6.23%,1
2017-02-02,Q4 16,1900-12-16,0.077,0.136,0.27%,1
2016-10-27,Q3 16,1900-09-16,0.026,0.1,5.98%,1
2016-07-28,Q2 16,1900-06-16,0.089,0.121,16.03%,1
2016-04-28,Q1 16,1900-03-16,0.054,0.08,12.77%,1
2016-01-28,Q4 15,1900-12-15,0.05,0.138,-34.02%,0
2015-10-22,Q3 15,1900-09-15,0.009,0.042,55.16%,1
2015-07-23,Q2 15,1900-06-15,0.01,0.042,14.53%,1
2015-04-23,Q1 15,1900-03-15,-0.006,0.032,-29.69%,0
2015-01-29,Q4 14,1900-12-14,0.022,0.048,5.21%,1
2014-10-23,Q3 14,1900-09-14,-0.036,-0.001,-1972.89%,0
2014-07-24,Q2 14,1900-06-14,-0.014,0.029,-52.07%,0
2014-04-24,Q1 14,1900-03-14,0.012,0.039,-13.26%,0
2014-01-30,Q4 13,1900-12-13,0.026,0.062,-22.58%,0
2013-10-24,Q3 13,1900-09-13,-0.005,0.018,-13.98%,0
2013-07-25,Q2 13,1900-06-13,-0.001,0.028,-28.57%,0
2013-04-25,Q1 13,1900-03-13,0.009,0.026,-3.85%,0
