Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-31,Q4 24,1900-12-24,,188.474B,,0
2024-10-25,Q3 24,1900-09-24,,159.649B,,0
2024-08-02,Q2 24,1900-06-24,,150.202B,,0
2024-04-26,Q1 24,1900-03-24,,142.574B,,0
2024-02-01,Q4 23,1900-12-23,169.961B,166.213B,2.25%,1
2023-10-26,Q3 23,1900-09-23,143.083B,141.563B,1.07%,1
2023-08-03,Q2 23,1900-06-23,134.383B,131.627B,2.09%,1
2023-04-27,Q1 23,1900-03-23,127.358B,124.705B,2.13%,1
2023-02-02,Q4 22,1900-12-22,149.204B,145.806B,2.33%,1
2022-10-27,Q3 22,1900-09-22,127.101B,127.636B,-0.42%,0
2022-07-28,Q2 22,1900-06-22,121.234B,119.528B,1.43%,1
2022-04-28,Q1 22,1900-03-22,116.444B,116.479B,-0.03%,0
2022-02-03,Q4 21,1900-12-21,137.412B,137.824B,-0.30%,0
2021-10-28,Q3 21,1900-09-21,110.812B,111.811B,-0.89%,0
2021-07-29,Q2 21,1900-06-21,113.080B,115.060B,-1.72%,0
2021-04-29,Q1 21,1900-03-21,108.518B,104.565B,3.78%,1
2021-02-02,Q4 20,1900-12-20,125.555B,119.718B,4.88%,1
2020-10-29,Q3 20,1900-09-20,96.145B,92.715B,3.70%,1
2020-07-30,Q2 20,1900-06-20,88.912B,81.245B,9.44%,1
2020-04-30,Q1 20,1900-03-20,75.452B,73.744B,2.32%,1
2020-01-30,Q4 19,1900-12-19,87.437B,86.166B,1.47%,1
2019-10-24,Q3 19,1900-09-19,69.981B,68.699B,1.87%,1
2019-07-25,Q2 19,1900-06-19,63.404B,62.456B,1.52%,1
2019-04-25,Q1 19,1900-03-19,59.700B,59.691B,0.01%,1
2019-01-31,Q4 18,1900-12-18,72.383B,71.920B,0.64%,1
2018-10-25,Q3 18,1900-09-18,56.576B,57.067B,-0.86%,0
2018-07-26,Q2 18,1900-06-18,52.886B,53.373B,-0.91%,0
2018-04-26,Q1 18,1900-03-18,51.042B,49.955B,2.18%,1
2018-02-01,Q4 17,1900-12-17,60.453B,59.836B,1.03%,1
2017-10-26,Q3 17,1900-09-17,43.744B,42.194B,3.67%,1
2017-07-27,Q2 17,1900-06-17,37.955B,37.194B,2.05%,1
2017-04-27,Q1 17,1900-03-17,35.714B,35.309B,1.15%,1
2017-02-02,Q4 16,1900-12-16,43.741B,44.658B,-2.05%,0
2016-10-27,Q3 16,1900-09-16,32.714B,32.688B,0.08%,1
2016-07-28,Q2 16,1900-06-16,30.404B,29.534B,2.94%,1
2016-04-28,Q1 16,1900-03-16,29.128B,27.990B,4.06%,1
2016-01-28,Q4 15,1900-12-15,35.747B,35.910B,-0.45%,0
2015-10-22,Q3 15,1900-09-15,25.358B,24.856B,2.02%,1
2015-07-23,Q2 15,1900-06-15,23.185B,22.385B,3.57%,1
2015-04-23,Q1 15,1900-03-15,22.717B,22.371B,1.55%,1
2015-01-29,Q4 14,1900-12-14,29.328B,29.683B,-1.20%,0
2014-10-23,Q3 14,1900-09-14,20.579B,20.841B,-1.26%,0
2014-07-24,Q2 14,1900-06-14,19.340B,19.318B,0.11%,1
2014-04-24,Q1 14,1900-03-14,19.741B,19.431B,1.60%,1
2014-01-30,Q4 13,1900-12-13,25.587B,26.083B,-1.90%,0
2013-10-24,Q3 13,1900-09-13,17.092B,16.760B,1.98%,1
2013-07-25,Q2 13,1900-06-13,15.704B,15.737B,-0.21%,0
2013-04-25,Q1 13,1900-03-13,16.070B,16.136B,-0.41%,0
