Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2024-12-13,Q1 25,1900-11-24,,3.774,,0
2024-09-26,Q4 24,1900-08-24,,4.97,,0
2024-05-24,Q3 24,1900-05-24,,3.627,,0
2024-03-07,Q2 24,1900-02-24,,3.619,,0
2023-12-14,Q1 24,1900-11-23,3.58,3.413,4.89%,1
2023-09-26,Q4 23,1900-09-23,4.86,4.78,1.67%,1
2023-05-25,Q3 23,1900-05-23,3.43,,,0
2023-03-02,Q2 23,1900-02-23,3.3,3.216,2.61%,1
2022-12-08,Q1 23,1900-11-22,3.07,3.1,-0.97%,0
2022-09-22,Q4 22,1900-08-22,4.2,4.142,1.40%,1
2022-05-26,Q3 22,1900-05-22,3.17,3.023,0.56%,1
2022-03-03,Q2 22,1900-02-22,2.92,2.761,5.76%,1
2021-12-09,Q1 22,1900-11-21,3.19,2.618,13.83%,1
2021-09-23,Q4 21,1900-08-21,3.9,3.554,5.80%,1
2021-05-27,Q3 21,1900-05-21,2.793,2.406,14.30%,1
2021-03-04,Q2 21,1900-02-21,2.14,2.447,-12.55%,0
2020-12-10,Q1 21,1900-11-20,2.62,2.06,27.18%,1
2020-09-24,Q4 20,1900-08-20,3.13,2.847,9.94%,1
2020-05-28,Q3 20,1900-05-20,1.89,1.915,-1.31%,0
2020-03-05,Q2 20,1900-02-20,2.1,2.062,1.84%,1
2019-12-12,Q1 20,1900-11-19,1.9,1.711,11.05%,1
2019-10-03,Q4 19,1900-09-19,2.69,2.544,5.90%,1
2019-05-30,Q3 19,1900-05-19,1.885,1.813,4.07%,1
2019-03-07,Q2 19,1900-02-19,2.01,1.689,19.01%,1
2018-12-13,Q1 19,1900-11-18,1.73,1.623,-0.80%,0
2018-10-04,Q4 18,1900-09-18,2.36,2.358,0.08%,1
2018-05-31,Q3 18,1900-05-18,1.7,1.688,0.71%,1
2018-03-07,Q2 18,1900-02-18,1.59,1.489,-4.64%,0
2017-12-14,Q1 18,1900-11-17,1.45,1.341,1.55%,1
2017-10-05,Q4 17,1900-09-17,2.08,2.017,3.31%,1
2017-05-25,Q3 17,1900-05-17,1.404,1.342,4.41%,1
2017-03-02,Q2 17,1900-02-17,1.17,1.351,-13.49%,0
2016-12-07,Q1 17,1900-11-16,1.17,1.187,-1.67%,0
2016-09-29,Q4 16,1900-08-16,1.77,1.726,2.55%,1
2016-05-25,Q3 16,1900-05-16,1.24,,,0
2016-03-02,Q2 16,1900-02-16,1.24,1.28,-3.12%,0
2015-12-08,Q1 16,1900-11-15,1.09,1.17,-6.84%,0
2015-09-29,Q4 15,1900-08-15,1.73,1.659,4.28%,1
2015-05-27,Q3 15,1900-05-15,1.17,,,0
2015-03-05,Q2 15,1900-02-15,1.221,1.182,5.77%,1
2014-12-10,Q1 15,1900-11-14,1.12,1.091,2.66%,1
2014-10-08,Q4 14,1900-08-14,1.58,1.523,3.74%,1
2014-05-29,Q3 14,1900-05-14,1.07,1.096,-2.52%,0
2014-03-06,Q2 14,1900-02-14,1.05,1.167,-10.03%,0
2013-12-11,Q1 14,1900-11-13,0.96,1.024,-6.25%,0
2013-10-09,Q4 13,1900-09-13,1.4,1.462,-4.24%,0
2013-05-30,Q3 13,1900-05-13,1.04,,,0
2013-03-12,Q2 13,1900-02-13,1.099,1.057,4.07%,1
