Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2024-12-13,Q1 25,1900-11-24,,61.562B,,0
2024-09-26,Q4 24,1900-08-24,,79.946B,,0
2024-05-24,Q3 24,1900-05-24,,57.442B,,0
2024-03-07,Q2 24,1900-02-24,,59.041B,,0
2023-12-14,Q1 24,1900-11-23,57.799B,57.711B,0.15%,1
2023-09-26,Q4 23,1900-09-23,78.939B,77.717B,1.57%,1
2023-05-25,Q3 23,1900-05-23,53.648B,,,0
2023-03-02,Q2 23,1900-02-23,55.266B,55.552B,-0.51%,0
2022-12-08,Q1 23,1900-11-22,54.437B,54.770B,-0.61%,0
2022-09-22,Q4 22,1900-08-22,72.091B,71.890B,0.28%,1
2022-05-26,Q3 22,1900-05-22,52.596B,51.546B,2.04%,1
2022-03-03,Q2 22,1900-02-22,51.904B,51.473B,0.84%,1
2021-12-09,Q1 22,1900-11-21,50.363B,49.551B,1.64%,1
2021-09-23,Q4 21,1900-08-21,62.675B,61.565B,1.80%,1
2021-05-27,Q3 21,1900-05-21,45.277B,43.709B,3.59%,1
2021-03-04,Q2 21,1900-02-21,44.769B,43.808B,2.19%,1
2020-12-10,Q1 21,1900-11-20,43.208B,42.659B,1.29%,1
2020-09-24,Q4 20,1900-08-20,53.383B,52.456B,1.77%,1
2020-05-28,Q3 20,1900-05-20,37.266B,37.054B,0.57%,1
2020-03-05,Q2 20,1900-02-20,39.072B,38.171B,2.36%,1
2019-12-12,Q1 20,1900-11-19,37.040B,37.302B,-0.70%,0
2019-10-03,Q4 19,1900-09-19,47.498B,47.697B,-0.42%,0
2019-05-30,Q3 19,1900-05-19,34.740B,34.760B,-0.06%,0
2019-03-07,Q2 19,1900-02-19,35.396B,35.679B,-0.79%,0
2018-12-13,Q1 19,1900-11-18,35.069B,34.802B,0.77%,1
2018-10-04,Q4 18,1900-09-18,44.411B,44.340B,0.16%,1
2018-05-31,Q3 18,1900-05-18,32.361B,31.925B,1.36%,1
2018-03-07,Q2 18,1900-02-18,32.995B,32.750B,0.75%,1
2017-12-14,Q1 18,1900-11-17,31.809B,31.506B,0.96%,1
2017-10-05,Q4 17,1900-09-17,42.300B,41.615B,1.65%,1
2017-05-25,Q3 17,1900-05-17,28.860B,28.570B,1.01%,1
2017-03-02,Q2 17,1900-02-17,29.766B,29.919B,-0.51%,0
2016-12-07,Q1 17,1900-11-16,28.099B,28.320B,-0.78%,0
2016-09-29,Q4 16,1900-08-16,36.560B,36.855B,-0.80%,0
2016-05-25,Q3 16,1900-05-16,26.769B,,,0
2016-03-02,Q2 16,1900-02-16,28.170B,28.509B,-1.19%,0
2015-12-08,Q1 16,1900-11-15,27.220B,27.651B,-1.56%,0
2015-09-29,Q4 15,1900-08-15,35.778B,35.807B,-0.08%,0
2015-05-27,Q3 15,1900-05-15,26.101B,,,0
2015-03-05,Q2 15,1900-02-15,27.454B,27.618B,-0.59%,0
2014-12-10,Q1 15,1900-11-14,26.866B,26.916B,-0.19%,0
2014-10-08,Q4 14,1900-08-14,35.523B,35.572B,-0.14%,0
2014-05-29,Q3 14,1900-05-14,25.794B,25.853B,-0.23%,0
2014-03-06,Q2 14,1900-02-14,26.306B,26.595B,-1.09%,0
2013-12-11,Q1 14,1900-11-13,25.017B,25.211B,-0.77%,0
2013-10-09,Q4 13,1900-09-13,32.487B,32.598B,-0.34%,0
2013-05-30,Q3 13,1900-05-13,24.083B,,,0
2013-03-12,Q2 13,1900-02-13,24.871B,24.898B,-0.11%,0
