Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-30,Q4 24,1900-12-24,,2.042,,0
2024-10-24,Q3 24,1900-09-24,,1.876,,0
2024-07-25,Q2 24,1900-06-24,,1.861,,0
2024-04-25,Q1 24,1900-03-24,,1.632,,0
2024-01-30,Q4 23,1900-12-23,1.705,1.729,-5.15%,0
2023-10-24,Q3 23,1900-09-23,1.613,1.448,7.04%,1
2023-07-25,Q2 23,1900-06-23,1.475,1.44,0.00%,0
2023-04-25,Q1 23,1900-03-23,1.161,1.249,-6.33%,0
2023-02-02,Q4 22,1900-12-22,1.142,1.33,-21.05%,0
2022-10-25,Q3 22,1900-09-22,1.14,1.356,-21.83%,0
2022-07-26,Q2 22,1900-06-22,1.256,1.455,,0
2022-04-26,Q1 22,1900-03-22,1.308,1.433,-14.10%,0
2022-02-01,Q4 21,1900-12-21,1.399,1.489,9.62%,1
2021-10-26,Q3 21,1900-09-21,1.291,1.352,5.12%,1
2021-07-27,Q2 21,1900-06-21,1.229,1.106,23.24%,1
2021-04-27,Q1 21,1900-03-21,1.078,0.886,48.36%,1
2021-02-02,Q4 20,1900-12-20,0.929,0.881,9.23%,1
2020-10-29,Q3 20,1900-09-20,0.713,0.679,16.72%,1
2020-07-30,Q2 20,1900-06-20,0.408,0.533,-2.67%,0
2020-04-28,Q1 20,1900-03-20,0.535,0.695,9.85%,1
2020-02-03,Q4 19,1900-12-19,0.718,0.771,9.74%,1
2019-10-28,Q3 19,1900-09-19,0.578,0.703,15.58%,1
2019-07-25,Q2 19,1900-06-19,0.584,0.699,-17.12%,0
2019-04-29,Q1 19,1900-03-19,0.539,0.656,-2.77%,0
2019-02-04,Q4 18,1900-12-18,0.569,0.652,7.90%,1
2018-10-25,Q3 18,1900-09-18,0.669,0.641,1.64%,1
2018-07-23,Q2 18,1900-06-18,0.508,0.58,66.90%,1
2018-04-23,Q1 18,1900-03-18,0.509,0.604,10.35%,1
2018-02-01,Q4 17,1900-12-17,0.443,0.608,-0.42%,0
2017-10-26,Q3 17,1900-09-17,0.482,0.527,12.23%,1
2017-07-24,Q2 17,1900-06-17,0.433,0.52,7.91%,1
2017-04-27,Q1 17,1900-03-17,0.389,0.473,6.74%,1
2017-01-26,Q4 16,1900-12-16,0.381,0.481,-2.70%,0
2016-10-27,Q3 16,1900-09-16,0.359,0.43,5.35%,1
2016-07-28,Q2 16,1900-06-16,0.351,0.401,4.99%,1
2016-04-21,Q1 16,1900-03-16,0.313,0.398,-5.78%,0
2016-02-01,Q4 15,1900-12-15,0.367,0.404,7.30%,1
2015-10-22,Q3 15,1900-09-15,0.286,0.361,1.80%,1
2015-07-16,Q2 15,1900-06-15,0.249,0.337,3.71%,1
2015-04-23,Q1 15,1900-03-15,0.256,0.327,0.46%,1
2015-01-29,Q4 14,1900-12-14,0.268,0.352,-2.55%,0
2014-10-16,Q3 14,1900-09-14,0.222,0.325,-2.31%,0
2014-07-17,Q2 14,1900-06-14,0.245,0.311,-2.25%,0
2014-04-16,Q1 14,1900-03-14,0.253,0.321,-2.34%,0
2014-01-30,Q4 13,1900-12-13,0.285,0.304,-1.23%,0
2013-10-17,Q3 13,1900-09-13,0.234,0.257,4.06%,1
2013-07-18,Q2 13,1900-06-13,0.206,0.269,-11.19%,0
2013-04-18,Q1 13,1900-03-13,0.263,0.267,8.43%,1
