Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-30,Q4 24,1900-12-24,,82.551B,,0
2024-10-24,Q3 24,1900-09-24,,73.647B,,0
2024-07-25,Q2 24,1900-06-24,,71.013B,,0
2024-04-25,Q1 24,1900-03-24,,65.776B,,0
2024-01-30,Q4 23,1900-12-23,86.310B,70.975B,1.90%,1
2023-10-24,Q3 23,1900-09-23,76.693B,63.044B,1.60%,1
2023-07-25,Q2 23,1900-06-23,74.604B,60.270B,2.98%,1
2023-04-25,Q1 23,1900-03-23,69.787B,56.981B,1.90%,1
2023-02-02,Q4 22,1900-12-22,76.048B,63.207B,-0.13%,0
2022-10-25,Q3 22,1900-09-22,69.092B,58.198B,-1.60%,0
2022-07-26,Q2 22,1900-06-22,69.685B,58.544B,-1.83%,0
2022-04-26,Q1 22,1900-03-22,68.011B,56.611B,-1.04%,0
2022-02-01,Q4 21,1900-12-21,75.325B,59.353B,4.29%,1
2021-10-26,Q3 21,1900-09-21,65.118B,52.617B,1.91%,1
2021-07-27,Q2 21,1900-06-21,61.880B,45.786B,11.28%,1
2021-04-27,Q1 21,1900-03-21,55.314B,42.611B,7.02%,1
2021-02-02,Q4 20,1900-12-20,56.898B,44.116B,5.25%,1
2020-10-29,Q3 20,1900-09-20,46.173B,35.363B,7.48%,1
2020-07-30,Q2 20,1900-06-20,38.297B,31.049B,1.78%,1
2020-04-28,Q1 20,1900-03-20,41.159B,33.104B,1.82%,1
2020-02-03,Q4 19,1900-12-19,46.075B,38.687B,-2.88%,0
2019-10-28,Q3 19,1900-09-19,40.499B,32.963B,0.14%,1
2019-07-25,Q2 19,1900-06-19,38.944B,30.839B,2.81%,1
2019-04-29,Q1 19,1900-03-19,36.339B,30.037B,-1.86%,0
2019-02-04,Q4 18,1900-12-18,39.276B,31.326B,1.64%,1
2018-10-25,Q3 18,1900-09-18,33.740B,27.334B,-0.64%,0
2018-07-23,Q2 18,1900-06-18,32.657B,25.546B,2.71%,1
2018-04-23,Q1 18,1900-03-18,31.146B,24.273B,2.41%,1
2018-02-01,Q4 17,1900-12-17,32.323B,25.576B,1.16%,1
2017-10-26,Q3 17,1900-09-17,27.772B,21.951B,1.45%,1
2017-07-24,Q2 17,1900-06-17,26.010B,20.921B,-0.01%,0
2017-04-27,Q1 17,1900-03-17,24.750B,19.748B,1.89%,1
2017-01-26,Q4 16,1900-12-16,26.064B,20.598B,3.00%,1
2016-10-27,Q3 16,1900-09-16,22.451B,18.003B,1.48%,1
2016-07-28,Q2 16,1900-06-16,21.500B,16.859B,3.95%,1
2016-04-21,Q1 16,1900-03-16,20.257B,16.586B,-0.71%,0
2016-02-01,Q4 15,1900-12-15,21.329B,16.864B,2.43%,1
2015-10-22,Q3 15,1900-09-15,18.675B,15.038B,0.47%,1
2015-07-16,Q2 15,1900-06-15,17.727B,14.284B,0.47%,1
2015-04-23,Q1 15,1900-03-15,17.258B,14.026B,-0.81%,0
2015-01-29,Q4 14,1900-12-14,18.103B,14.839B,-2.40%,0
2014-10-16,Q3 14,1900-09-14,16.523B,13.194B,-0.18%,0
2014-07-17,Q2 14,1900-06-14,15.955B,12.320B,2.84%,1
2014-04-16,Q1 14,1900-03-14,15.420B,12.267B,-0.63%,0
2014-01-30,Q4 13,1900-12-13,15.707B,13.408B,1.06%,1
2013-10-17,Q3 13,1900-09-13,13.754B,11.640B,2.40%,1
2013-07-18,Q2 13,1900-06-13,13.107B,11.324B,-1.98%,0
2013-04-18,Q1 13,1900-03-13,12.951B,11.195B,-1.66%,0
