Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2024-12-06,Q3 25,1900-10-24,,2.859,,0
2024-08-30,Q2 25,1900-07-24,,3.109,,0
2024-05-31,Q1 25,1900-04-24,,2.602,,0
2024-03-28,Q4 24,1900-01-24,,5.006,,0
2023-12-07,Q3 24,1900-10-23,2.392,2.285,10.72%,1
2023-08-31,Q2 24,1900-07-23,2.68,2.536,5.68%,1
2023-06-01,Q1 24,1900-04-23,2.28,1.967,15.91%,1
2023-03-28,Q4 23,1900-01-23,4.039,4.256,3.38%,1
2022-12-08,Q3 23,1900-10-22,2.0,1.97,1.02%,1
2022-09-01,Q2 23,1900-07-22,2.193,1.872,17.52%,1
2022-06-02,Q1 23,1900-05-22,1.48,1.431,3.42%,1
2022-03-29,Q4 22,1900-01-22,3.371,3.269,3.09%,1
2021-12-09,Q3 22,1900-10-21,1.621,1.405,15.30%,1
2021-09-08,Q2 22,1900-08-21,1.649,1.189,38.77%,1
2021-06-03,Q1 22,1900-05-21,1.166,0.908,27.75%,1
2021-03-30,Q4 21,1900-01-21,2.578,2.494,3.45%,1
2020-12-10,Q3 21,1900-11-20,1.158,0.876,32.42%,1
2020-09-08,Q2 21,1900-08-20,0.733,0.563,31.44%,1
2020-06-11,Q1 21,1900-05-20,0.22,0.228,-3.51%,0
2020-03-26,Q4 20,1900-02-20,2.28,2.25,1.33%,1
2019-12-11,Q3 20,1900-11-19,0.96,0.934,2.78%,1
2019-09-05,Q2 20,1900-08-19,0.96,0.889,7.50%,1
2019-06-12,Q1 20,1900-05-19,0.74,0.703,5.26%,1
2019-03-27,Q4 19,1900-02-19,1.846,1.745,6.02%,1
2018-12-06,Q3 19,1900-10-18,0.71,0.695,7.91%,1
2018-08-30,Q2 19,1900-07-18,0.71,0.494,43.72%,1
2018-05-31,Q1 19,1900-04-18,0.55,0.462,19.05%,1
2018-03-27,Q4 18,1900-01-18,1.324,1.269,4.81%,1
2017-12-06,Q3 18,1900-10-17,0.544,0.516,8.53%,1
2017-08-31,Q2 18,1900-07-17,0.373,0.347,12.39%,1
2017-06-01,Q1 18,1900-04-17,0.294,0.275,16.36%,1
2017-03-29,Q4 17,1900-01-17,0.996,1.006,-0.60%,0
2016-12-07,Q3 17,1900-10-16,0.471,0.43,9.30%,1
2016-09-01,Q2 17,1900-07-16,0.378,0.38,0.00%,0
2016-06-08,Q1 17,1900-05-16,0.298,0.306,-1.96%,0
2016-03-30,Q4 16,1900-01-16,0.851,0.799,6.38%,1
2015-12-09,Q3 16,1900-11-15,0.35,0.373,-6.17%,0
2015-09-10,Q2 16,1900-08-15,0.34,0.334,1.80%,1
2015-06-09,Q1 16,1900-05-15,0.34,0.33,3.03%,1
2015-03-26,Q4 15,1900-02-15,0.78,0.727,7.29%,1
2014-12-11,Q3 15,1900-11-14,0.42,0.379,10.82%,1
2014-09-11,Q2 15,1900-08-14,0.33,0.296,11.49%,1
2014-06-12,Q1 15,1900-05-14,0.342,0.322,5.59%,1
2014-03-27,Q4 14,1900-02-14,0.75,0.719,4.31%,1
2013-12-12,Q3 14,1900-11-13,0.45,0.409,10.02%,1
2013-09-12,Q2 14,1900-08-13,0.39,0.35,11.43%,1
2013-06-10,Q1 14,1900-05-13,0.32,0.302,5.96%,1
2013-03-21,Q4 13,1900-02-13,0.75,0.74,1.35%,1
