Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2024-12-06,Q3 25,1900-10-24,,2.518B,,0
2024-08-30,Q2 25,1900-07-24,,2.521B,,0
2024-05-31,Q1 25,1900-04-24,,2.281B,,0
2024-03-28,Q4 24,1900-01-24,,3.196B,,0
2023-12-07,Q3 24,1900-10-23,2.204B,2.190B,0.65%,1
2023-08-31,Q2 24,1900-07-23,2.209B,2.172B,1.70%,1
2023-06-01,Q1 24,1900-04-23,2.001B,1.926B,3.91%,1
2023-03-28,Q4 23,1900-01-23,2.772B,2.696B,2.80%,1
2022-12-08,Q3 23,1900-10-22,1.857B,1.816B,2.23%,1
2022-09-01,Q2 23,1900-07-22,1.868B,1.774B,5.30%,1
2022-06-02,Q1 23,1900-05-22,1.613B,1.542B,4.62%,1
2022-03-29,Q4 22,1900-01-22,2.129B,2.136B,-0.31%,0
2021-12-09,Q3 22,1900-10-21,1.450B,1.436B,0.97%,1
2021-09-08,Q2 22,1900-08-21,1.451B,1.334B,8.78%,1
2021-06-03,Q1 22,1900-05-21,1.226B,1.130B,8.55%,1
2021-03-30,Q4 21,1900-01-21,1.730B,1.662B,4.09%,1
2020-12-10,Q3 21,1900-11-20,1.117B,1.014B,10.16%,1
2020-09-08,Q2 21,1900-08-20,902.942M,844.143M,6.97%,1
2020-06-11,Q1 21,1900-05-20,651.962M,690.926M,-5.64%,0
2020-03-26,Q4 20,1900-02-20,1.397B,1.383B,1.03%,1
2019-12-11,Q3 20,1900-11-19,916.138M,899.444M,1.86%,1
2019-09-05,Q2 20,1900-08-19,883.352M,845.296M,4.50%,1
2019-06-12,Q1 20,1900-05-19,782.315M,756.250M,3.45%,1
2019-03-27,Q4 19,1900-02-19,1.167B,1.154B,1.21%,1
2018-12-06,Q3 19,1900-10-18,747.655M,737.433M,1.39%,1
2018-08-30,Q2 19,1900-07-18,723.500M,667.448M,8.40%,1
2018-05-31,Q1 19,1900-04-18,649.706M,617.714M,5.18%,1
2018-03-27,Q4 18,1900-01-18,928.802M,912.423M,1.80%,1
2017-12-06,Q3 18,1900-10-17,619.018M,610.593M,1.38%,1
2017-08-31,Q2 18,1900-07-17,581.054M,567.133M,2.45%,1
2017-06-01,Q1 18,1900-04-17,520.307M,513.690M,1.29%,1
2017-03-29,Q4 17,1900-01-17,789.940M,783.581M,0.81%,1
2016-12-07,Q3 17,1900-10-16,544.416M,540.133M,0.79%,1
2016-09-01,Q2 17,1900-07-16,514.520M,514.704M,-0.04%,0
2016-06-08,Q1 17,1900-05-16,495.516M,487.613M,1.62%,1
2016-03-30,Q4 16,1900-01-16,704.276M,693.067M,1.62%,1
2015-12-09,Q3 16,1900-11-15,479.693M,481.875M,-0.45%,0
2015-09-10,Q2 16,1900-08-15,453.010M,445.600M,1.66%,1
2015-06-09,Q1 16,1900-05-15,423.544M,418.750M,1.14%,1
2015-03-26,Q4 15,1900-02-15,602.491M,599.667M,0.47%,1
2014-12-11,Q3 15,1900-11-14,419.396M,424.500M,-1.20%,0
2014-09-11,Q2 15,1900-08-14,390.708M,377.310M,3.55%,1
2014-06-12,Q1 15,1900-05-14,384.618M,381.552M,0.80%,1
2014-03-27,Q4 14,1900-02-14,520.993M,515.172M,1.13%,1
2013-12-12,Q3 14,1900-11-13,379.900M,376.107M,1.01%,1
2013-09-12,Q2 14,1900-08-13,344.513M,343.833M,0.20%,1
2013-06-10,Q1 14,1900-05-13,345.782M,341.375M,1.29%,1
2013-03-21,Q4 13,1900-02-13,485.489M,482.190M,0.68%,1
