Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-31,Q4 24,1900-12-24,,6.352,,0
2024-10-25,Q3 24,1900-09-24,,5.238,,0
2024-07-26,Q2 24,1900-06-24,,5.014,,0
2024-04-26,Q1 24,1900-03-24,,4.417,,0
2024-02-01,Q4 23,1900-12-23,6.005,5.039,5.77%,1
2023-10-25,Q3 23,1900-09-23,4.605,3.696,18.78%,1
2023-07-26,Q2 23,1900-06-23,3.852,2.868,3.91%,1
2023-04-26,Q1 23,1900-03-23,2.782,2.484,-11.03%,0
2023-02-01,Q4 22,1900-12-22,4.056,2.952,-40.38%,0
2022-10-26,Q3 22,1900-09-22,1.76,2.272,-27.82%,0
2022-07-27,Q2 22,1900-06-22,2.46,3.142,-21.71%,0
2022-04-27,Q1 22,1900-03-22,2.72,3.125,-12.96%,0
2022-02-02,Q4 21,1900-12-21,3.665,4.236,-13.36%,0
2021-10-25,Q3 21,1900-09-21,3.22,3.664,-12.23%,0
2021-07-28,Q2 21,1900-06-21,3.61,3.527,2.43%,1
2021-04-28,Q1 21,1900-03-21,3.3,2.611,46.39%,1
2021-01-27,Q4 20,1900-12-20,3.88,3.538,24.73%,1
2020-10-29,Q3 20,1900-09-20,2.71,2.198,35.12%,1
2020-07-30,Q2 20,1900-06-20,1.8,1.768,29.70%,1
2020-04-29,Q1 20,1900-03-20,1.71,2.06,1.95%,1
2020-01-29,Q4 19,1900-12-19,2.56,2.811,3.68%,1
2019-10-30,Q3 19,1900-09-19,2.13,2.275,9.01%,1
2019-07-24,Q2 19,1900-06-19,1.842,2.244,4.56%,1
2019-04-24,Q1 19,1900-03-19,1.676,1.938,11.99%,1
2019-01-30,Q4 18,1900-12-18,2.38,2.502,6.87%,1
2018-10-30,Q3 18,1900-09-18,1.76,1.848,12.23%,1
2018-07-25,Q2 18,1900-06-18,1.74,2.014,4.01%,1
2018-04-25,Q1 18,1900-03-18,1.69,1.66,17.44%,1
2018-01-31,Q4 17,1900-12-17,2.208,2.255,6.06%,1
2017-11-01,Q3 17,1900-09-17,1.59,1.535,18.14%,1
2017-07-26,Q2 17,1900-06-17,1.32,1.384,11.67%,1
2017-05-03,Q1 17,1900-03-17,1.04,1.117,21.54%,1
2017-02-01,Q4 16,1900-12-16,1.21,1.313,7.39%,1
2016-11-02,Q3 16,1900-09-16,0.9,0.974,11.91%,1
2016-07-27,Q2 16,1900-06-16,0.78,0.824,17.72%,1
2016-04-27,Q1 16,1900-03-16,0.6,0.626,23.00%,1
2016-01-27,Q4 15,1900-12-15,0.54,0.678,16.52%,1
2015-11-04,Q3 15,1900-09-15,0.31,0.52,9.62%,1
2015-07-29,Q2 15,1900-06-15,0.25,0.471,6.16%,1
2015-04-22,Q1 15,1900-03-15,0.18,0.403,4.22%,1
2015-01-28,Q4 14,1900-12-14,0.25,0.485,11.34%,1
2014-10-28,Q3 14,1900-09-14,0.3,0.403,6.70%,1
2014-07-23,Q2 14,1900-06-14,0.3,0.322,30.43%,1
2014-04-23,Q1 14,1900-03-14,0.25,0.24,41.67%,1
2014-01-29,Q4 13,1900-12-13,0.2,0.27,14.81%,1
2013-10-30,Q3 13,1900-09-13,0.17,0.185,35.14%,1
2013-07-24,Q2 13,1900-06-13,0.13,0.137,38.69%,1
2013-05-01,Q1 13,1900-03-13,0.09,0.126,-4.76%,0
