Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-31,Q4 24,1900-12-24,,45.132B,,0
2024-10-25,Q3 24,1900-09-24,,39.214B,,0
2024-07-26,Q2 24,1900-06-24,,38.168B,,0
2024-04-26,Q1 24,1900-03-24,,36.059B,,0
2024-02-01,Q4 23,1900-12-23,40.111B,39.009B,2.82%,1
2023-10-25,Q3 23,1900-09-23,34.146B,33.515B,1.88%,1
2023-07-26,Q2 23,1900-06-23,31.999B,31.064B,3.01%,1
2023-04-26,Q1 23,1900-03-23,28.645B,27.669B,3.53%,1
2023-02-01,Q4 22,1900-12-22,32.165B,31.637B,1.67%,1
2022-10-26,Q3 22,1900-09-22,27.714B,27.419B,1.07%,1
2022-07-27,Q2 22,1900-06-22,28.822B,28.933B,-0.38%,0
2022-04-27,Q1 22,1900-03-22,27.908B,28.236B,-1.16%,0
2022-02-02,Q4 21,1900-12-21,33.671B,33.433B,0.71%,1
2021-10-25,Q3 21,1900-09-21,29.010B,29.453B,-1.51%,0
2021-07-28,Q2 21,1900-06-21,29.077B,27.872B,4.32%,1
2021-04-28,Q1 21,1900-03-21,26.171B,23.715B,10.36%,1
2021-01-27,Q4 20,1900-12-20,28.072B,26.407B,6.30%,1
2020-10-29,Q3 20,1900-09-20,21.470B,19.853B,8.14%,1
2020-07-30,Q2 20,1900-06-20,18.687B,17.314B,7.93%,1
2020-04-29,Q1 20,1900-03-20,17.737B,17.271B,2.70%,1
2020-01-29,Q4 19,1900-12-19,21.082B,20.889B,0.93%,1
2019-10-30,Q3 19,1900-09-19,17.652B,17.347B,1.76%,1
2019-07-24,Q2 19,1900-06-19,16.886B,16.492B,2.39%,1
2019-04-24,Q1 19,1900-03-19,15.077B,14.973B,0.69%,1
2019-01-30,Q4 18,1900-12-18,16.914B,16.387B,3.21%,1
2018-10-30,Q3 18,1900-09-18,13.727B,13.802B,-0.55%,0
2018-07-25,Q2 18,1900-06-18,13.231B,13.330B,-0.74%,0
2018-04-25,Q1 18,1900-03-18,11.966B,11.411B,4.87%,1
2018-01-31,Q4 17,1900-12-17,12.972B,12.548B,3.38%,1
2017-11-01,Q3 17,1900-09-17,10.328B,9.842B,4.93%,1
2017-07-26,Q2 17,1900-06-17,9.321B,9.203B,1.28%,1
2017-05-03,Q1 17,1900-03-17,8.032B,7.831B,2.57%,1
2017-02-01,Q4 16,1900-12-16,8.809B,8.514B,3.47%,1
2016-11-02,Q3 16,1900-09-16,7.011B,6.921B,1.31%,1
2016-07-27,Q2 16,1900-06-16,6.436B,6.005B,7.18%,1
2016-04-27,Q1 16,1900-03-16,5.382B,5.267B,2.19%,1
2016-01-27,Q4 15,1900-12-15,5.841B,5.371B,8.76%,1
2015-11-04,Q3 15,1900-09-15,4.501B,4.368B,3.04%,1
2015-07-29,Q2 15,1900-06-15,4.042B,3.992B,1.25%,1
2015-04-22,Q1 15,1900-03-15,3.543B,3.567B,-0.69%,0
2015-01-28,Q4 14,1900-12-14,3.851B,3.773B,2.05%,1
2014-10-28,Q3 14,1900-09-14,3.203B,3.117B,2.75%,1
2014-07-23,Q2 14,1900-06-14,2.910B,2.809B,3.59%,1
2014-04-23,Q1 14,1900-03-14,2.502B,2.356B,6.19%,1
2014-01-29,Q4 13,1900-12-13,2.585B,2.354B,9.80%,1
2013-10-30,Q3 13,1900-09-13,2.016B,1.910B,5.55%,1
2013-07-24,Q2 13,1900-06-13,1.813B,1.618B,12.02%,1
2013-05-01,Q1 13,1900-03-13,1.458B,1.440B,1.26%,1
