Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-30,Q2 25,1900-12-24,,3.281,,0
2024-10-24,Q1 25,1900-09-24,,3.151,,0
2024-07-25,Q4 24,1900-06-24,,2.883,,0
2024-04-25,Q3 24,1900-03-24,,2.801,,0
2024-01-30,Q2 24,1900-12-23,2.968,2.775,5.59%,1
2023-10-24,Q1 24,1900-09-23,2.975,2.658,12.49%,1
2023-07-25,Q4 23,1900-06-23,2.673,2.555,5.28%,1
2023-04-25,Q3 23,1900-03-23,2.439,2.235,9.62%,1
2023-01-24,Q2 23,1900-12-22,2.329,2.295,1.09%,1
2022-10-25,Q1 23,1900-09-22,2.349,2.297,2.31%,1
2022-07-26,Q4 22,1900-06-22,2.256,2.294,-2.79%,0
2022-04-26,Q3 22,1900-03-22,2.227,2.189,1.42%,1
2022-01-25,Q2 22,1900-12-21,2.449,2.316,7.08%,1
2021-10-26,Q1 22,1900-09-21,2.252,2.072,9.56%,1
2021-07-27,Q4 21,1900-06-21,2.129,1.921,12.96%,1
2021-04-27,Q3 21,1900-03-21,1.912,1.781,9.49%,1
2021-01-26,Q2 21,1900-12-20,1.993,1.625,24.94%,1
2020-10-27,Q1 21,1900-09-20,1.808,1.546,17.67%,1
2020-07-22,Q4 20,1900-06-20,1.521,1.363,7.12%,1
2020-04-29,Q3 20,1900-03-20,1.41,1.276,9.79%,1
2020-01-29,Q2 20,1900-12-19,1.493,1.322,14.22%,1
2019-10-23,Q1 20,1900-09-19,1.386,1.244,11.33%,1
2019-07-18,Q4 19,1900-06-19,1.351,1.215,12.76%,1
2019-04-24,Q3 19,1900-03-19,1.136,0.999,13.87%,1
2019-01-30,Q2 19,1900-12-18,1.091,1.093,1.02%,1
2018-10-24,Q1 19,1900-09-18,1.115,0.962,18.11%,1
2018-07-19,Q4 18,1900-06-18,0.935,1.077,4.92%,1
2018-04-26,Q3 18,1900-03-18,0.898,0.849,12.19%,1
2018-01-31,Q2 18,1900-12-17,0.948,0.862,11.37%,1
2017-10-26,Q1 18,1900-09-17,0.792,0.718,17.44%,1
2017-07-20,Q4 17,1900-06-17,0.912,0.708,5.93%,1
2017-04-27,Q3 17,1900-03-17,0.634,0.699,4.43%,1
2017-01-26,Q2 17,1900-12-16,0.742,0.786,6.87%,1
2016-10-20,Q1 17,1900-09-16,0.687,0.683,11.27%,1
2016-07-19,Q4 16,1900-06-16,0.773,0.582,18.56%,1
2016-04-21,Q3 16,1900-03-16,0.54,0.638,-2.82%,0
2016-01-28,Q2 16,1900-12-15,0.74,0.71,9.86%,1
2015-10-22,Q1 16,1900-09-15,0.63,0.587,14.14%,1
2015-07-21,Q4 15,1900-06-15,0.49,0.58,6.90%,1
2015-04-23,Q3 15,1900-03-15,0.607,0.528,16.51%,1
2015-01-26,Q2 15,1900-12-14,0.745,0.748,2.94%,1
2014-10-23,Q1 15,1900-09-14,0.643,0.551,17.97%,1
2014-07-22,Q4 14,1900-06-14,0.573,0.604,-3.97%,0
2014-04-24,Q3 14,1900-03-14,0.673,0.63,7.94%,1
2014-01-23,Q2 14,1900-12-13,0.775,0.684,14.04%,1
2013-10-24,Q1 14,1900-09-13,0.621,0.542,14.39%,1
2013-07-18,Q4 13,1900-06-13,0.588,0.747,-11.90%,0
2013-04-18,Q3 13,1900-03-13,0.772,0.678,6.19%,1
