Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-30,Q2 25,1900-12-24,,69.752B,,0
2024-10-24,Q1 25,1900-09-24,,65.004B,,0
2024-07-25,Q4 24,1900-06-24,,64.662B,,0
2024-04-25,Q3 24,1900-03-24,,60.856B,,0
2024-01-30,Q2 24,1900-12-23,62.020B,61.143B,1.43%,1
2023-10-24,Q1 24,1900-09-23,56.517B,54.547B,3.61%,1
2023-07-25,Q4 23,1900-06-23,56.189B,55.495B,1.25%,1
2023-04-25,Q3 23,1900-03-23,52.857B,51.138B,3.36%,1
2023-01-24,Q2 23,1900-12-22,52.747B,52.929B,-0.34%,0
2022-10-25,Q1 23,1900-09-22,50.122B,49.711B,0.83%,1
2022-07-26,Q4 22,1900-06-22,51.865B,52.422B,-1.06%,0
2022-04-26,Q3 22,1900-03-22,49.360B,49.042B,0.65%,1
2022-01-25,Q2 22,1900-12-21,51.728B,50.872B,1.68%,1
2021-10-26,Q1 22,1900-09-21,45.317B,43.937B,3.14%,1
2021-07-27,Q4 21,1900-06-21,46.152B,44.256B,4.28%,1
2021-04-27,Q3 21,1900-03-21,41.706B,41.053B,1.59%,1
2021-01-26,Q2 21,1900-12-20,43.076B,40.063B,7.52%,1
2020-10-27,Q1 21,1900-09-20,37.154B,35.747B,3.93%,1
2020-07-22,Q4 20,1900-06-20,38.033B,36.540B,4.09%,1
2020-04-29,Q3 20,1900-03-20,35.021B,33.691B,3.95%,1
2020-01-29,Q2 20,1900-12-19,36.906B,35.703B,3.37%,1
2019-10-23,Q1 20,1900-09-19,33.055B,32.225B,2.58%,1
2019-07-18,Q4 19,1900-06-19,33.717B,32.789B,2.83%,1
2019-04-24,Q3 19,1900-03-19,30.571B,29.855B,2.40%,1
2019-01-30,Q2 19,1900-12-18,32.471B,32.500B,-0.09%,0
2018-10-24,Q1 19,1900-09-18,29.084B,27.925B,4.15%,1
2018-07-19,Q4 18,1900-06-18,30.085B,29.219B,2.96%,1
2018-04-26,Q3 18,1900-03-18,26.819B,25.778B,4.04%,1
2018-01-31,Q2 18,1900-12-17,28.918B,28.390B,1.86%,1
2017-10-26,Q1 18,1900-09-17,24.538B,23.546B,4.21%,1
2017-07-20,Q4 17,1900-06-17,25.605B,24.292B,1.68%,1
2017-04-27,Q3 17,1900-03-17,23.212B,23.648B,-0.38%,0
2017-01-26,Q2 17,1900-12-16,25.826B,25.267B,2.26%,1
2016-10-20,Q1 17,1900-09-16,21.928B,21.703B,2.91%,1
2016-07-19,Q4 16,1900-06-16,23.474B,22.131B,2.31%,1
2016-04-21,Q3 16,1900-03-16,21.517B,22.112B,-0.16%,0
2016-01-28,Q2 16,1900-12-15,25.253B,25.253B,1.74%,1
2015-10-22,Q1 16,1900-09-15,20.910B,20.980B,3.24%,1
2015-07-21,Q4 15,1900-06-15,22.180B,22.038B,0.64%,1
2015-04-23,Q3 15,1900-03-15,21.729B,21.067B,3.14%,1
2015-01-26,Q2 15,1900-12-14,26.470B,26.295B,0.67%,1
2014-10-23,Q1 15,1900-09-14,23.201B,22.004B,5.44%,1
2014-07-22,Q4 14,1900-06-14,23.382B,23.012B,1.61%,1
2014-04-24,Q3 14,1900-03-14,20.403B,20.384B,0.09%,1
2014-01-23,Q2 14,1900-12-13,24.519B,23.678B,3.55%,1
2013-10-24,Q1 14,1900-09-13,18.529B,17.769B,4.28%,1
2013-07-18,Q4 13,1900-06-13,19.896B,20.716B,-3.96%,0
2013-04-18,Q3 13,1900-03-13,20.489B,20.470B,0.09%,1
