Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-02-21,Q4 25,1900-01-25,,6.641,,0
2024-11-21,Q3 25,1900-10-24,,6.213,,0
2024-08-23,Q2 25,1900-07-24,,5.691,,0
2024-05-24,Q1 25,1900-04-24,,5.335,,0
2024-02-21,Q4 24,1900-01-24,4.9,4.603,12.10%,1
2023-11-21,Q3 24,1900-10-23,3.769,3.365,19.47%,1
2023-08-23,Q2 24,1900-07-23,2.517,2.072,30.31%,1
2023-05-24,Q1 24,1900-04-23,0.874,0.919,18.61%,1
2023-02-22,Q4 23,1900-01-23,0.645,0.813,8.24%,1
2022-11-16,Q3 23,1900-10-22,0.317,0.7,-17.14%,0
2022-08-24,Q2 23,1900-07-22,0.3,0.497,2.62%,1
2022-05-25,Q1 23,1900-05-22,1.111,1.299,4.70%,1
2022-02-16,Q4 22,1900-01-22,1.194,1.223,7.93%,1
2021-11-17,Q3 22,1900-10-21,1.033,1.109,5.50%,1
2021-08-18,Q2 22,1900-08-21,1.018,1.012,2.77%,1
2021-05-26,Q1 22,1900-05-21,0.811,0.817,12.00%,1
2021-02-24,Q4 21,1900-01-21,0.634,0.705,9.93%,1
2020-11-18,Q3 21,1900-10-20,0.6,0.646,12.62%,1
2020-08-19,Q2 21,1900-07-20,0.497,0.493,10.55%,1
2020-05-21,Q1 21,1900-04-20,0.371,0.422,6.64%,1
2020-02-13,Q4 20,1900-01-20,0.386,0.419,12.77%,1
2019-11-14,Q3 20,1900-10-19,0.365,0.387,14.99%,1
2019-08-15,Q2 20,1900-07-19,0.228,0.283,9.54%,1
2019-05-16,Q1 20,1900-04-19,0.166,0.206,6.80%,1
2019-02-14,Q4 19,1900-01-19,0.133,0.197,1.52%,1
2018-11-15,Q3 19,1900-10-18,0.435,0.481,-4.37%,0
2018-08-16,Q2 19,1900-07-18,0.439,0.463,4.75%,1
2018-05-10,Q1 19,1900-04-18,0.494,0.415,23.49%,1
2018-02-08,Q4 18,1900-01-18,0.392,0.324,32.72%,1
2017-11-09,Q3 18,1900-10-17,0.333,0.272,22.24%,1
2017-08-10,Q2 18,1900-07-17,0.232,0.204,23.77%,1
2017-05-09,Q1 18,1900-04-17,0.199,0.203,4.68%,1
2017-02-09,Q4 17,1900-01-17,0.249,0.246,14.84%,1
2016-11-10,Q3 17,1900-10-16,0.209,0.173,35.84%,1
2016-08-11,Q2 17,1900-07-16,0.103,0.12,10.42%,1
2016-05-12,Q1 17,1900-05-16,0.091,0.102,12.75%,1
2016-02-17,Q4 16,1900-01-16,0.105,0.11,18.18%,1
2015-11-05,Q3 16,1900-10-15,0.115,0.086,33.72%,1
2015-08-06,Q2 16,1900-07-15,0.067,0.052,63.46%,1
2015-05-07,Q1 16,1900-04-15,0.064,0.084,-1.79%,0
2015-02-11,Q4 15,1900-01-15,0.088,0.091,18.13%,1
2014-11-06,Q3 15,1900-10-14,0.078,0.089,9.55%,1
2014-08-07,Q2 15,1900-07-14,0.056,0.064,17.19%,1
2014-05-06,Q1 15,1900-04-14,0.054,0.053,36.79%,1
2014-02-12,Q4 14,1900-01-14,0.059,0.061,31.15%,1
2013-11-07,Q3 14,1900-10-13,0.051,0.063,3.17%,1
2013-08-08,Q2 14,1900-07-13,0.042,0.047,22.34%,1
2013-05-09,Q1 14,1900-04-13,0.033,0.037,21.62%,1
