Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-02-21,Q4 25,1900-01-25,,29.842B,,0
2024-11-21,Q3 25,1900-10-24,,27.782B,,0
2024-08-23,Q2 25,1900-07-24,,25.601B,,0
2024-05-24,Q1 25,1900-04-24,,24.083B,,0
2024-02-21,Q4 24,1900-01-24,22.103B,20.412B,8.28%,1
2023-11-21,Q3 24,1900-10-23,18.120B,16.092B,12.60%,1
2023-08-23,Q2 24,1900-07-23,13.507B,11.042B,22.32%,1
2023-05-24,Q1 24,1900-04-23,7.192B,6.515B,10.39%,1
2023-02-22,Q4 23,1900-01-23,6.051B,6.019B,0.52%,1
2022-11-16,Q3 23,1900-10-22,5.931B,5.800B,2.25%,1
2022-08-24,Q2 23,1900-07-22,6.704B,6.702B,-0.02%,0
2022-05-25,Q1 23,1900-05-22,8.288B,8.100B,2.32%,1
2022-02-16,Q4 22,1900-01-22,7.643B,7.419B,3.02%,1
2021-11-17,Q3 22,1900-10-21,7.103B,6.808B,4.33%,1
2021-08-18,Q2 22,1900-08-21,6.507B,6.332B,2.76%,1
2021-05-26,Q1 22,1900-05-21,5.661B,5.417B,4.50%,1
2021-02-24,Q4 21,1900-01-21,5.003B,4.821B,3.77%,1
2020-11-18,Q3 21,1900-10-20,4.726B,4.421B,6.91%,1
2020-08-19,Q2 21,1900-07-20,3.866B,3.653B,5.84%,1
2020-05-21,Q1 21,1900-04-20,3.080B,2.998B,2.73%,1
2020-02-13,Q4 20,1900-01-20,3.105B,2.969B,4.57%,1
2019-11-14,Q3 20,1900-10-19,3.014B,2.909B,3.61%,1
2019-08-15,Q2 20,1900-07-19,2.579B,2.543B,1.41%,1
2019-05-16,Q1 20,1900-04-19,2.220B,2.194B,1.17%,1
2019-02-14,Q4 19,1900-01-19,2.205B,2.202B,0.14%,1
2018-11-15,Q3 19,1900-10-18,3.181B,3.239B,-1.79%,0
2018-08-16,Q2 19,1900-07-18,3.123B,3.105B,0.58%,1
2018-05-10,Q1 19,1900-04-18,3.207B,2.899B,10.63%,1
2018-02-08,Q4 18,1900-01-18,2.911B,2.676B,8.78%,1
2017-11-09,Q3 18,1900-10-17,2.636B,2.362B,11.62%,1
2017-08-10,Q2 18,1900-07-17,2.230B,1.963B,13.61%,1
2017-05-09,Q1 18,1900-04-17,1.937B,1.909B,1.48%,1
2017-02-09,Q4 17,1900-01-17,2.173B,2.107B,3.15%,1
2016-11-10,Q3 17,1900-10-16,2.004B,1.692B,18.41%,1
2016-08-11,Q2 17,1900-07-16,1.428B,1.353B,5.56%,1
2016-05-12,Q1 17,1900-05-16,1.305B,1.265B,3.18%,1
2016-02-17,Q4 16,1900-01-16,1.401B,1.311B,6.84%,1
2015-11-05,Q3 16,1900-10-15,1.305B,1.182B,10.39%,1
2015-08-06,Q2 16,1900-07-15,1.153B,1.014B,13.66%,1
2015-05-07,Q1 16,1900-04-15,1.151B,1.161B,-0.89%,0
2015-02-11,Q4 15,1900-01-15,1.251B,1.203B,3.97%,1
2014-11-06,Q3 15,1900-10-14,1.225B,1.202B,1.95%,1
2014-08-07,Q2 15,1900-07-14,1.103B,1.103B,0.00%,0
2014-05-06,Q1 15,1900-04-14,1.103B,1.054B,4.63%,1
2014-02-12,Q4 14,1900-01-14,1.144B,1.053B,8.62%,1
2013-11-07,Q3 14,1900-10-13,1.054B,1.052B,0.17%,1
2013-08-08,Q2 14,1900-07-13,977.238M,976.517M,0.07%,1
2013-05-09,Q1 14,1900-04-13,954.739M,940.667M,1.50%,1
