Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-02-10,Q4 24,1900-12-24,,1.996,,0
2024-10-10,Q3 24,1900-09-24,,2.424,,0
2024-07-12,Q2 24,1900-06-24,,2.216,,0
2024-04-25,Q1 24,1900-03-24,,1.519,,0
2024-02-09,Q4 23,1900-12-23,1.781,1.722,3.37%,1
2023-10-10,Q3 23,1900-09-23,2.254,2.204,2.09%,1
2023-07-13,Q2 23,1900-06-23,2.094,1.961,6.58%,1
2023-04-25,Q1 23,1900-03-23,1.501,1.38,8.70%,1
2023-02-09,Q4 22,1900-12-22,1.664,1.643,1.64%,1
2022-10-12,Q3 22,1900-09-22,2.177,1.869,5.40%,1
2022-07-12,Q2 22,1900-06-22,1.638,1.763,5.50%,1
2022-04-26,Q1 22,1900-03-22,1.287,1.233,4.62%,1
2022-02-10,Q4 21,1900-12-21,1.531,1.516,0.92%,1
2021-10-05,Q3 21,1900-09-21,1.786,1.741,2.81%,1
2021-07-13,Q2 21,1900-06-21,1.502,1.568,9.69%,1
2021-04-15,Q1 21,1900-03-21,1.218,1.12,8.04%,1
2021-02-11,Q4 20,1900-12-20,1.47,1.455,1.03%,1
2020-10-01,Q3 20,1900-09-20,1.664,1.536,8.07%,1
2020-07-13,Q2 20,1900-06-20,1.318,1.252,5.43%,1
2020-04-28,Q1 20,1900-03-20,1.075,1.03,3.88%,1
2020-02-13,Q4 19,1900-12-19,1.452,1.436,0.97%,1
2019-10-03,Q3 19,1900-09-19,1.555,1.507,3.52%,1
2019-07-09,Q2 19,1900-06-19,1.539,1.5,2.67%,1
2019-04-17,Q1 19,1900-03-19,0.972,0.914,6.13%,1
2019-02-15,Q4 18,1900-12-18,1.361,1.491,-0.07%,0
2018-10-02,Q3 18,1900-09-18,1.586,1.571,1.21%,1
2018-07-10,Q2 18,1900-06-18,1.632,1.522,5.78%,1
2018-04-26,Q1 18,1900-03-18,0.965,0.927,3.56%,1
2018-02-13,Q4 17,1900-12-17,1.323,1.304,0.46%,1
2017-10-04,Q3 17,1900-09-17,1.483,1.431,3.42%,1
2017-07-11,Q2 17,1900-06-17,1.495,1.397,7.37%,1
2017-04-26,Q1 17,1900-03-17,0.935,0.916,2.62%,1
2017-02-15,Q4 16,1900-12-16,1.196,1.158,3.63%,1
2016-09-29,Q3 16,1900-09-16,1.4,,,0
2016-07-07,Q2 16,1900-06-16,1.357,1.294,4.33%,1
2016-04-18,Q1 16,1900-03-16,0.893,0.812,9.61%,1
2016-02-11,Q4 15,1900-12-15,1.085,1.059,0.09%,1
2015-10-06,Q3 15,1900-09-15,1.369,1.274,5.97%,1
2015-07-09,Q2 15,1900-06-15,1.336,1.25,5.60%,1
2015-04-23,Q1 15,1900-03-15,0.83,0.792,4.80%,1
2015-02-11,Q4 14,1900-12-14,1.12,1.079,3.80%,1
2014-10-09,Q3 14,1900-09-14,1.367,1.289,5.51%,1
2014-07-23,Q2 14,1900-06-14,1.322,1.23,7.57%,1
2014-04-17,Q1 14,1900-03-14,0.826,0.752,7.71%,1
2014-02-13,Q4 13,1900-12-13,1.183,1.004,4.58%,1
2013-10-16,Q3 13,1900-09-13,1.245,1.17,6.00%,1
2013-07-24,Q2 13,1900-06-13,1.306,1.188,2.92%,1
2013-04-18,Q1 13,1900-03-13,0.774,0.707,8.91%,1
