Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-02-10,Q4 24,1900-12-24,,29.344B,,0
2024-10-10,Q3 24,1900-09-24,,24.382B,,0
2024-07-12,Q2 24,1900-06-24,,22.837B,,0
2024-04-25,Q1 24,1900-03-24,,18.108B,,0
2024-02-09,Q4 23,1900-12-23,27.850B,28.338B,-1.72%,0
2023-10-10,Q3 23,1900-09-23,23.453B,23.411B,0.18%,1
2023-07-13,Q2 23,1900-06-23,22.322B,21.705B,2.84%,1
2023-04-25,Q1 23,1900-03-23,17.846B,17.244B,3.49%,1
2023-02-09,Q4 22,1900-12-22,27.996B,26.879B,4.16%,1
2022-10-12,Q3 22,1900-09-22,21.971B,21.007B,4.59%,1
2022-07-12,Q2 22,1900-06-22,20.225B,19.686B,2.74%,1
2022-04-26,Q1 22,1900-03-22,16.200B,15.566B,4.08%,1
2022-02-10,Q4 21,1900-12-21,25.248B,24.222B,4.24%,1
2021-10-05,Q3 21,1900-09-21,20.189B,19.524B,3.40%,1
2021-07-13,Q2 21,1900-06-21,19.217B,18.111B,6.11%,1
2021-04-15,Q1 21,1900-03-21,14.820B,14.549B,1.86%,1
2021-02-11,Q4 20,1900-12-20,22.455B,21.806B,2.98%,1
2020-10-01,Q3 20,1900-09-20,18.091B,17.409B,3.92%,1
2020-07-13,Q2 20,1900-06-20,15.945B,15.393B,3.59%,1
2020-04-28,Q1 20,1900-03-20,13.881B,13.190B,5.24%,1
2020-02-13,Q4 19,1900-12-19,20.640B,20.247B,1.94%,1
2019-10-03,Q3 19,1900-09-19,17.188B,16.929B,1.53%,1
2019-07-09,Q2 19,1900-06-19,16.449B,16.426B,0.14%,1
2019-04-17,Q1 19,1900-03-19,12.884B,12.689B,1.54%,1
2019-02-15,Q4 18,1900-12-18,19.524B,19.503B,0.11%,1
2018-10-02,Q3 18,1900-09-18,16.485B,16.335B,0.92%,1
2018-07-10,Q2 18,1900-06-18,16.090B,16.042B,0.30%,1
2018-04-26,Q1 18,1900-03-18,12.562B,12.394B,1.35%,1
2018-02-13,Q4 17,1900-12-17,19.526B,19.375B,0.78%,1
2017-10-04,Q3 17,1900-09-17,16.240B,16.310B,-0.43%,0
2017-07-11,Q2 17,1900-06-17,15.710B,15.575B,0.87%,1
2017-04-26,Q1 17,1900-03-17,12.049B,11.973B,0.63%,1
2017-02-15,Q4 16,1900-12-16,19.515B,19.506B,0.05%,1
2016-09-29,Q3 16,1900-09-16,16.027B,,,0
2016-07-07,Q2 16,1900-06-16,15.395B,15.405B,-0.06%,0
2016-04-18,Q1 16,1900-03-16,11.862B,11.887B,-0.21%,0
2016-02-11,Q4 15,1900-12-15,18.585B,18.524B,0.33%,1
2015-10-06,Q3 15,1900-09-15,16.331B,16.119B,1.32%,1
2015-07-09,Q2 15,1900-06-15,15.923B,15.805B,0.75%,1
2015-04-23,Q1 15,1900-03-15,12.217B,12.205B,0.10%,1
2015-02-11,Q4 14,1900-12-14,19.948B,19.627B,1.63%,1
2014-10-09,Q3 14,1900-09-14,17.218B,17.084B,0.78%,1
2014-07-23,Q2 14,1900-06-14,16.894B,16.805B,0.53%,1
2014-04-17,Q1 14,1900-03-14,12.623B,12.387B,1.90%,1
2014-02-13,Q4 13,1900-12-13,20.118B,20.136B,-0.09%,0
2013-10-16,Q3 13,1900-09-13,16.909B,16.960B,-0.30%,0
2013-07-24,Q2 13,1900-06-13,16.807B,16.789B,0.11%,1
2013-04-18,Q1 13,1900-03-13,12.581B,12.533B,0.38%,1
