Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-30,Q1 25,1900-12-24,,1.063,,0
2024-11-01,Q4 24,1900-09-24,,1.211,,0
2024-08-01,Q3 24,1900-06-24,,1.132,,0
2024-05-02,Q2 24,1900-03-24,,0.826,,0
2024-01-30,Q1 24,1900-12-23,0.92,0.929,-3.12%,0
2023-11-02,Q4 23,1900-10-23,1.06,0.966,9.73%,1
2023-08-01,Q3 23,1900-07-23,0.995,0.949,5.37%,1
2023-05-02,Q2 23,1900-04-23,0.734,0.649,14.02%,1
2023-02-02,Q1 23,1900-01-23,0.759,0.77,-2.60%,0
2022-11-03,Q4 22,1900-10-22,0.811,0.721,12.34%,1
2022-08-02,Q3 22,1900-07-22,0.843,0.761,10.38%,1
2022-05-03,Q2 22,1900-04-22,0.613,0.604,-2.32%,0
2022-02-01,Q1 22,1900-01-22,0.748,0.798,-9.77%,0
2021-10-28,Q4 21,1900-10-21,0.979,0.992,0.81%,1
2021-07-27,Q3 21,1900-06-21,0.996,0.78,29.49%,1
2021-04-27,Q2 21,1900-03-21,0.619,0.53,16.98%,1
2021-01-26,Q1 21,1900-12-20,0.62,0.554,10.11%,1
2020-10-29,Q4 20,1900-09-20,0.504,0.312,63.46%,1
2020-07-28,Q3 20,1900-06-20,-0.463,-0.618,25.57%,1
2020-04-28,Q2 20,1900-03-20,0.325,0.325,-1.54%,0
2020-01-28,Q1 20,1900-12-19,0.787,0.759,4.08%,1
2019-10-30,Q4 19,1900-09-19,0.717,0.698,0.29%,1
2019-07-25,Q3 19,1900-06-19,0.803,0.726,7.44%,1
2019-04-25,Q2 19,1900-03-19,0.595,0.563,6.57%,1
2019-01-24,Q1 19,1900-12-18,0.682,0.649,15.56%,1
2018-11-01,Q4 18,1900-09-18,0.688,0.599,3.51%,1
2018-07-26,Q3 18,1900-07-18,0.661,0.607,2.14%,1
2018-04-26,Q2 18,1900-04-18,0.546,0.53,0.00%,0
2018-01-25,Q1 18,1900-12-17,0.765,0.571,1.58%,1
2017-11-02,Q4 17,1900-10-17,0.532,0.546,0.73%,1
2017-07-27,Q3 17,1900-07-17,0.383,0.551,-0.18%,0
2017-04-27,Q2 17,1900-04-17,0.451,0.448,0.45%,1
2017-01-26,Q1 17,1900-01-17,0.52,0.52,0.00%,0
2016-11-03,Q4 16,1900-10-16,0.547,0.548,2.19%,1
2016-07-21,Q3 16,1900-06-16,0.516,0.487,0.62%,1
2016-04-21,Q2 16,1900-03-16,0.4,0.39,0.00%,0
2016-01-21,Q1 16,1900-12-15,0.468,0.45,2.22%,1
2015-10-29,Q4 15,1900-09-15,0.457,0.434,-0.92%,0
2015-07-23,Q3 15,1900-06-15,0.415,0.409,2.69%,1
2015-04-23,Q2 15,1900-03-15,0.33,0.329,0.30%,1
2015-01-22,Q1 15,1900-12-14,0.488,0.404,-0.99%,0
2014-10-30,Q4 14,1900-09-14,0.342,0.374,-1.07%,0
2014-07-24,Q3 14,1900-06-14,0.34,0.333,0.60%,1
2014-04-24,Q2 14,1900-03-14,0.28,0.28,0.00%,0
2014-01-23,Q1 14,1900-12-13,0.345,0.348,1.39%,1
2013-10-30,Q4 13,1900-09-13,0.285,0.283,5.88%,1
2013-07-25,Q3 13,1900-06-13,0.275,0.269,,0
2013-04-25,Q2 13,1900-03-13,0.24,0.244,,0
