Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-30,Q1 25,1900-12-24,,10.333B,,0
2024-11-01,Q4 24,1900-09-24,,10.195B,,0
2024-08-01,Q3 24,1900-06-24,,9.970B,,0
2024-05-02,Q2 24,1900-03-24,,9.234B,,0
2024-01-30,Q1 24,1900-12-23,9.425B,9.601B,-1.83%,0
2023-11-02,Q4 23,1900-10-23,9.374B,9.280B,1.01%,1
2023-08-01,Q3 23,1900-07-23,9.168B,9.283B,-1.23%,0
2023-05-02,Q2 23,1900-04-23,8.720B,8.415B,3.63%,1
2023-02-02,Q1 23,1900-01-23,8.714B,8.754B,-0.46%,0
2022-11-03,Q4 22,1900-10-22,8.414B,8.311B,1.24%,1
2022-08-02,Q3 22,1900-07-22,8.150B,8.141B,0.11%,1
2022-05-03,Q2 22,1900-04-22,7.636B,7.619B,0.21%,1
2022-02-01,Q1 22,1900-01-22,8.050B,7.961B,1.12%,1
2021-10-28,Q4 21,1900-10-21,8.147B,8.204B,-0.70%,0
2021-07-27,Q3 21,1900-06-21,7.497B,7.263B,3.21%,1
2021-04-27,Q2 21,1900-03-21,6.668B,6.774B,-1.57%,0
2021-01-26,Q1 21,1900-12-20,6.749B,6.917B,-2.43%,0
2020-10-29,Q4 20,1900-09-20,6.203B,6.062B,2.33%,1
2020-07-28,Q3 20,1900-06-20,4.222B,4.056B,4.10%,1
2020-04-28,Q2 20,1900-03-20,5.996B,5.895B,1.71%,1
2020-01-28,Q1 20,1900-12-19,7.097B,7.110B,-0.18%,0
2019-10-30,Q4 19,1900-09-19,6.747B,6.687B,0.90%,1
2019-07-25,Q3 19,1900-06-19,6.823B,6.675B,2.22%,1
2019-04-25,Q2 19,1900-03-19,6.306B,6.317B,-0.18%,0
2019-01-24,Q1 19,1900-12-18,6.633B,6.485B,2.27%,1
2018-11-01,Q4 18,1900-09-18,6.304B,6.274B,0.47%,1
2018-07-26,Q3 18,1900-07-18,6.310B,6.255B,0.89%,1
2018-04-26,Q2 18,1900-04-18,6.032B,5.934B,1.65%,1
2018-01-25,Q1 18,1900-12-17,6.074B,6.193B,-1.93%,0
2017-11-02,Q4 17,1900-10-17,5.698B,5.808B,-1.89%,0
2017-07-27,Q3 17,1900-07-17,5.662B,5.757B,-1.67%,0
2017-04-27,Q2 17,1900-04-17,5.294B,5.419B,-2.30%,0
2017-01-26,Q1 17,1900-01-17,5.733B,5.849B,-1.98%,0
2016-11-03,Q4 16,1900-10-16,5.711B,5.688B,0.40%,1
2016-07-21,Q3 16,1900-06-16,5.238B,5.336B,-1.83%,0
2016-04-21,Q2 16,1900-03-16,4.993B,5.027B,-0.67%,0
2016-01-21,Q1 16,1900-12-15,5.374B,5.390B,-0.31%,0
2015-10-29,Q4 15,1900-09-15,4.915B,4.895B,0.41%,1
2015-07-23,Q3 15,1900-06-15,4.881B,4.868B,0.27%,1
2015-04-23,Q2 15,1900-03-15,4.564B,4.532B,0.70%,1
2015-01-22,Q1 15,1900-12-14,4.803B,4.797B,0.13%,1
2014-10-30,Q4 14,1900-09-14,4.181B,4.235B,-1.28%,0
2014-07-24,Q3 14,1900-06-14,4.154B,4.141B,0.30%,1
2014-04-24,Q2 14,1900-03-14,3.874B,3.952B,-1.98%,0
2014-01-23,Q1 14,1900-12-13,4.240B,4.294B,-1.26%,0
2013-10-30,Q4 13,1900-09-13,3.789B,3.804B,-0.23%,0
2013-07-25,Q3 13,1900-06-13,3.735B,3.717B,,0
2013-04-25,Q2 13,1900-03-13,3.550B,3.584B,,0
