Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-24,Q4 24,1900-12-24,,0.854,,0
2024-10-18,Q3 24,1900-09-24,,0.812,,0
2024-07-19,Q2 24,1900-06-24,,0.738,,0
2024-04-19,Q1 24,1900-03-24,,0.664,,0
2024-01-24,Q4 23,1900-12-23,0.573,0.732,-3.01%,0
2023-10-18,Q3 23,1900-09-23,0.53,0.735,-10.20%,0
2023-07-19,Q2 23,1900-06-23,0.78,0.809,12.48%,1
2023-04-19,Q1 23,1900-03-23,0.73,0.855,-0.58%,0
2023-01-25,Q4 22,1900-12-22,1.078,1.122,6.06%,1
2022-10-19,Q3 22,1900-09-22,0.95,1.005,4.48%,1
2022-07-20,Q2 22,1900-06-22,0.682,0.611,23.84%,1
2022-04-20,Q1 22,1900-03-22,0.953,0.757,41.79%,1
2022-01-26,Q4 21,1900-12-21,0.683,0.788,7.45%,1
2021-10-20,Q3 21,1900-09-21,0.492,0.557,11.31%,1
2021-07-26,Q2 21,1900-06-21,0.345,0.325,48.72%,1
2021-04-26,Q1 21,1900-03-21,0.107,0.268,15.67%,1
2021-01-27,Q4 20,1900-12-20,0.092,0.342,-22.03%,0
2020-10-21,Q3 20,1900-09-20,0.113,0.183,38.43%,1
2020-07-22,Q2 20,1900-06-20,0.035,-0.002,N.M.,0
2020-04-29,Q1 20,1900-03-20,0.007,-0.025,N.M.,0
2020-01-29,Q4 19,1900-12-19,0.056,0.12,18.89%,1
2019-10-23,Q3 19,1900-09-19,0.058,-0.009,N.M.,0
2019-07-24,Q2 19,1900-06-19,-0.11,-0.022,-239.39%,0
2019-04-24,Q1 19,1900-03-19,-0.252,-0.087,-124.81%,0
2019-01-30,Q4 18,1900-12-18,0.062,0.143,-10.02%,0
2018-10-24,Q3 18,1900-09-18,0.128,-0.01,N.M.,0
2018-08-01,Q2 18,1900-06-18,-0.229,-0.194,-5.15%,0
2018-05-02,Q1 18,1900-03-18,-0.263,-0.228,2.05%,1
2018-02-07,Q4 17,1900-12-17,-0.245,-0.213,4.85%,1
2017-11-01,Q3 17,1900-09-17,-0.238,-0.151,-28.92%,0
2017-08-02,Q2 17,1900-06-17,-0.133,-0.124,28.49%,1
2017-05-03,Q1 17,1900-03-17,-0.12,-0.055,-61.21%,0
2017-02-22,Q4 16,1900-12-16,-0.077,-0.075,38.67%,1
2016-10-26,Q3 16,1900-09-16,0.01,-0.036,N.M.,0
2016-08-03,Q2 16,1900-06-16,-0.144,-0.04,-76.67%,0
2016-05-04,Q1 16,1900-03-16,-0.133,-0.04,5.00%,1
2016-02-10,Q4 15,1900-12-15,-0.163,0.006,N.M.,0
2015-11-03,Q3 15,1900-09-15,-0.119,-0.037,-4.50%,0
2015-08-05,Q2 15,1900-06-15,-0.097,-0.04,20.00%,1
2015-05-06,Q1 15,1900-03-15,-0.081,-0.033,27.27%,1
2015-02-11,Q4 14,1900-12-14,-0.057,0.021,N.M.,0
2014-11-05,Q3 14,1900-09-14,-0.04,0.0,N.M.,0
2014-07-31,Q2 14,1900-06-14,-0.033,0.003,144.44%,1
2014-05-07,Q1 14,1900-03-14,-0.027,0.005,60.00%,1
2014-02-19,Q4 13,1900-12-13,-0.009,0.017,29.41%,1
2013-11-05,Q3 13,1900-09-13,-0.021,0.006,33.33%,1
2013-08-07,Q2 13,1900-06-13,-0.008,-0.013,,0
2013-05-08,Q1 13,1900-03-13,0.0,0.002,,0
