Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-01-24,Q4 24,1900-12-24,,29.402B,,0
2024-10-18,Q3 24,1900-09-24,,27.904B,,0
2024-07-19,Q2 24,1900-06-24,,26.908B,,0
2024-04-19,Q1 24,1900-03-24,,25.211B,,0
2024-01-24,Q4 23,1900-12-23,25.167B,25.874B,-2.73%,0
2023-10-18,Q3 23,1900-09-23,23.350B,24.057B,-2.94%,0
2023-07-19,Q2 23,1900-06-23,24.927B,24.508B,1.71%,1
2023-04-19,Q1 23,1900-03-23,23.329B,23.353B,-0.10%,0
2023-01-25,Q4 22,1900-12-22,24.318B,24.065B,1.05%,1
2022-10-19,Q3 22,1900-09-22,21.454B,22.048B,-2.70%,0
2022-07-20,Q2 22,1900-06-22,16.934B,16.869B,0.38%,1
2022-04-20,Q1 22,1900-03-22,18.756B,17.916B,4.69%,1
2022-01-26,Q4 21,1900-12-21,17.719B,16.639B,6.49%,1
2021-10-20,Q3 21,1900-09-21,13.757B,13.914B,-1.13%,0
2021-07-26,Q2 21,1900-06-21,11.958B,11.360B,5.26%,1
2021-04-26,Q1 21,1900-03-21,10.389B,10.331B,0.56%,1
2021-01-27,Q4 20,1900-12-20,10.744B,10.377B,3.53%,1
2020-10-21,Q3 20,1900-09-20,8.771B,8.273B,6.01%,1
2020-07-22,Q2 20,1900-06-20,6.036B,5.398B,11.83%,1
2020-04-29,Q1 20,1900-03-20,5.985B,5.806B,3.09%,1
2020-01-29,Q4 19,1900-12-19,7.384B,7.075B,4.37%,1
2019-10-23,Q3 19,1900-09-19,6.303B,6.469B,-2.57%,0
2019-07-24,Q2 19,1900-06-19,6.350B,6.427B,-1.21%,0
2019-04-24,Q1 19,1900-03-19,4.541B,4.839B,-6.15%,0
2019-01-30,Q4 18,1900-12-18,7.226B,7.073B,2.17%,1
2018-10-24,Q3 18,1900-09-18,6.824B,6.315B,8.07%,1
2018-08-01,Q2 18,1900-06-18,4.002B,3.974B,0.71%,1
2018-05-02,Q1 18,1900-03-18,3.409B,3.318B,2.73%,1
2018-02-07,Q4 17,1900-12-17,3.288B,3.282B,0.20%,1
2017-11-01,Q3 17,1900-09-17,2.985B,2.928B,1.95%,1
2017-08-02,Q2 17,1900-06-17,2.790B,2.511B,11.11%,1
2017-05-03,Q1 17,1900-03-17,2.696B,2.608B,3.39%,1
2017-02-22,Q4 16,1900-12-16,2.285B,2.134B,7.08%,1
2016-10-26,Q3 16,1900-09-16,2.298B,1.902B,20.84%,1
2016-08-03,Q2 16,1900-06-16,1.270B,1.635B,-4.42%,0
2016-05-04,Q1 16,1900-03-16,1.147B,1.606B,-0.26%,0
2016-02-10,Q4 15,1900-12-15,1.214B,1.807B,-3.32%,0
2015-11-03,Q3 15,1900-09-15,936.789M,1.238B,0.45%,1
2015-08-05,Q2 15,1900-06-15,954.976M,1.186B,0.92%,1
2015-05-06,Q1 15,1900-03-15,939.880M,1.048B,5.28%,1
2015-02-11,Q4 14,1900-12-14,956.661M,1.222B,-10.36%,0
2014-11-05,Q3 14,1900-09-14,851.804M,895.067M,4.17%,1
2014-07-31,Q2 14,1900-06-14,769.349M,813.000M,5.47%,1
2014-05-07,Q1 14,1900-03-14,620.542M,704.500M,1.21%,1
2014-02-19,Q4 13,1900-12-13,615.219M,712.667M,6.83%,1
2013-11-05,Q3 13,1900-09-13,431.346M,554.333M,8.70%,1
2013-08-07,Q2 13,1900-06-13,405.139M,387.900M,,0
2013-05-08,Q1 13,1900-03-13,561.792M,496.600M,,0
