Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-02-20,Q4 25,1900-01-25,,1.933,,0
2024-11-15,Q3 25,1900-10-24,,1.65,,0
2024-08-16,Q2 25,1900-07-24,,1.917,,0
2024-05-17,Q1 25,1900-04-24,,1.571,,0
2024-02-20,Q4 24,1900-01-24,1.8,1.65,9.09%,1
2023-11-16,Q3 24,1900-10-23,1.56,1.516,0.92%,1
2023-08-17,Q2 24,1900-07-23,1.84,1.699,8.30%,1
2023-05-18,Q1 24,1900-04-23,1.47,1.312,12.04%,1
2023-02-21,Q4 23,1900-01-23,1.71,1.517,12.72%,1
2022-11-15,Q3 23,1900-10-22,0.447,1.32,13.64%,1
2022-08-16,Q2 23,1900-07-22,1.77,1.626,8.86%,1
2022-05-17,Q1 23,1900-04-22,1.3,1.478,-12.04%,0
2022-02-17,Q4 22,1900-01-22,1.53,1.506,1.59%,1
2021-11-16,Q3 22,1900-10-21,1.45,1.404,3.28%,1
2021-08-17,Q2 22,1900-07-21,1.78,1.566,13.67%,1
2021-05-18,Q1 22,1900-04-21,1.69,1.223,38.18%,1
2021-02-18,Q4 21,1900-01-21,1.39,1.503,-7.52%,0
2020-11-17,Q3 21,1900-10-20,1.34,1.183,13.27%,1
2020-08-18,Q2 21,1900-07-20,1.517,1.244,25.40%,1
2020-05-19,Q1 21,1900-04-20,1.18,1.119,5.45%,1
2020-02-18,Q4 20,1900-01-20,1.371,1.44,-4.17%,0
2019-11-14,Q3 20,1900-10-19,1.16,1.086,6.81%,1
2019-08-15,Q2 20,1900-07-19,1.27,1.22,4.10%,1
2019-05-16,Q1 20,1900-04-19,1.13,1.02,10.78%,1
2019-02-19,Q4 19,1900-01-19,1.41,1.336,5.54%,1
2018-11-15,Q3 19,1900-10-18,1.08,1.011,6.82%,1
2018-08-16,Q2 19,1900-07-18,1.288,1.224,5.39%,1
2018-05-17,Q1 19,1900-04-18,1.14,1.12,1.79%,1
2018-02-20,Q4 18,1900-01-18,1.33,1.371,-2.99%,0
2017-11-16,Q3 18,1900-10-17,1.0,0.975,2.56%,1
2017-08-17,Q2 18,1900-07-17,1.08,1.069,1.03%,1
2017-05-18,Q1 18,1900-04-17,1.0,0.965,3.63%,1
2017-02-21,Q4 17,1900-01-17,1.3,1.29,0.78%,1
2016-11-17,Q3 17,1900-10-16,0.98,0.958,2.30%,1
2016-08-18,Q2 17,1900-07-16,1.07,1.018,5.11%,1
2016-05-19,Q1 17,1900-04-16,0.98,0.881,11.24%,1
2016-02-18,Q4 16,1900-01-16,1.49,1.46,2.05%,1
2015-11-17,Q3 16,1900-10-15,0.989,0.976,1.43%,1
2015-08-18,Q2 16,1900-07-15,1.08,1.124,-3.91%,0
2015-05-19,Q1 16,1900-04-15,1.03,1.047,-1.62%,0
2015-02-19,Q4 15,1900-01-15,1.58,1.544,4.39%,1
2014-11-13,Q3 15,1900-10-14,1.15,1.119,2.77%,1
2014-08-14,Q2 15,1900-07-14,1.177,1.213,-0.25%,0
2014-05-15,Q1 15,1900-04-14,1.1,1.152,-4.51%,0
2014-02-20,Q4 14,1900-01-14,1.496,1.588,0.76%,1
2013-11-14,Q3 14,1900-10-13,1.14,1.127,1.15%,1
2013-08-15,Q2 14,1900-07-13,1.24,1.25,-0.29%,0
2013-05-16,Q1 14,1900-04-13,1.14,1.144,-0.35%,0
