Date,Per,Per End,Reported,Estimate,%Surp,Beat Pred
2025-02-20,Q4 25,1900-01-25,,179.210B,,0
2024-11-15,Q3 25,1900-10-24,,166.876B,,0
2024-08-16,Q2 25,1900-07-24,,167.522B,,0
2024-05-17,Q1 25,1900-04-24,,159.067B,,0
2024-02-20,Q4 24,1900-01-24,173.388B,170.661B,1.60%,1
2023-11-16,Q3 24,1900-10-23,160.804B,159.134B,1.05%,1
2023-08-17,Q2 24,1900-07-23,161.632B,159.636B,1.25%,1
2023-05-18,Q1 24,1900-04-23,152.301B,148.717B,2.41%,1
2023-02-21,Q4 23,1900-01-23,164.048B,159.589B,2.79%,1
2022-11-15,Q3 23,1900-10-22,152.813B,147.883B,3.33%,1
2022-08-16,Q2 23,1900-07-22,152.859B,151.031B,1.21%,1
2022-05-17,Q1 23,1900-04-22,141.569B,139.093B,1.78%,1
2022-02-17,Q4 22,1900-01-22,152.871B,151.992B,0.58%,1
2021-11-16,Q3 22,1900-10-21,140.525B,135.692B,3.56%,1
2021-08-17,Q2 22,1900-07-21,141.048B,137.139B,2.85%,1
2021-05-18,Q1 22,1900-04-21,138.310B,131.967B,4.81%,1
2021-02-18,Q4 21,1900-01-21,152.079B,148.385B,2.49%,1
2020-11-17,Q3 21,1900-10-20,134.708B,132.420B,1.73%,1
2020-08-18,Q2 21,1900-07-20,137.742B,135.606B,1.58%,1
2020-05-19,Q1 21,1900-04-20,134.622B,132.790B,1.38%,1
2020-02-18,Q4 20,1900-01-20,141.671B,142.553B,-0.62%,0
2019-11-14,Q3 20,1900-10-19,127.991B,128.668B,-0.53%,0
2019-08-15,Q2 20,1900-07-19,130.377B,130.075B,0.23%,1
2019-05-16,Q1 20,1900-04-19,123.925B,124.941B,-0.81%,0
2019-02-19,Q4 19,1900-01-19,138.793B,138.743B,0.04%,1
2018-11-15,Q3 19,1900-10-18,124.894B,125.486B,-0.47%,0
2018-08-16,Q2 19,1900-07-18,128.028B,126.006B,1.60%,1
2018-05-17,Q1 19,1900-04-18,122.690B,120.394B,1.91%,1
2018-02-20,Q4 18,1900-01-18,136.267B,134.745B,1.13%,1
2017-11-16,Q3 18,1900-10-17,123.179B,121.007B,1.80%,1
2017-08-17,Q2 18,1900-07-17,123.355B,123.016B,0.28%,1
2017-05-18,Q1 18,1900-04-17,117.542B,117.720B,-0.15%,0
2017-02-21,Q4 17,1900-01-17,130.936B,131.093B,-0.12%,0
2016-11-17,Q3 17,1900-10-16,118.179B,118.756B,-0.49%,0
2016-08-18,Q2 17,1900-07-16,120.854B,120.313B,0.45%,1
2016-05-19,Q1 17,1900-04-16,115.904B,113.406B,2.20%,1
2016-02-18,Q4 16,1900-01-16,129.667B,130.598B,-0.71%,0
2015-11-17,Q3 16,1900-10-15,117.408B,118.102B,-0.59%,0
2015-08-18,Q2 16,1900-07-15,120.229B,119.733B,0.41%,1
2015-05-19,Q1 16,1900-04-15,114.826B,116.230B,-1.21%,0
2015-02-19,Q4 15,1900-01-15,131.565B,132.289B,-0.55%,0
2014-11-13,Q3 15,1900-10-14,119.001B,118.278B,0.61%,1
2014-08-14,Q2 15,1900-07-14,120.125B,118.878B,1.05%,1
2014-05-15,Q1 15,1900-04-14,114.960B,116.000B,-0.90%,0
2014-02-20,Q4 14,1900-01-14,129.706B,130.097B,-0.30%,0
2013-11-14,Q3 14,1900-10-13,115.688B,116.664B,-0.84%,0
2013-08-15,Q2 14,1900-07-13,116.830B,118.489B,-1.30%,0
2013-05-16,Q1 14,1900-04-13,114.070B,116.056B,-1.61%,0
