Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,188.85,+0.53,+0.28%,188.65,188.00,189.99,"45,155,216","8,534,589,818.00","423,587,195,209.14"
2024-02-08,188.32,-1.09,-0.58%,189.39,187.35,189.54,"40,962,046","7,713,282,363.00","415,052,605,391.14"
2024-02-07,189.41,+0.11,+0.06%,190.64,188.61,191.05,"53,438,955","10,120,286,122.00","422,765,887,754.14"
2024-02-06,189.30,+1.62,+0.86%,186.86,186.77,189.31,"43,490,759","8,197,086,057.00","412,645,601,632.14"
2024-02-05,187.68,+1.83,+0.98%,188.15,185.84,189.25,"69,668,820","13,075,627,729.00","404,448,515,575.14"
2024-02-02,185.85,-1.01,-0.54%,179.86,179.25,187.33,"102,551,680","18,945,753,865.00","391,372,887,846.14"
2024-02-01,186.86,+2.46,+1.33%,183.99,183.82,186.95,"64,885,408","12,040,710,311.00","410,318,641,711.14"
2024-01-31,184.40,-3.64,-1.94%,187.04,184.35,187.10,"55,467,803","10,281,095,493.00","398,277,931,400.14"
2024-01-30,188.04,-3.69,-1.92%,190.94,187.47,191.80,"55,859,370","10,545,830,681.00","408,559,026,893.14"
2024-01-29,191.73,-0.69,-0.36%,192.01,189.58,192.20,"47,145,622","9,018,739,496.00","419,104,857,574.14"
2024-01-26,192.42,-1.75,-0.90%,194.27,191.94,194.76,"44,594,011","8,612,023,654.00","428,123,597,070.14"
2024-01-25,194.17,-0.33,-0.17%,195.22,193.11,196.27,"54,822,126","10,675,713,322.00","436,735,620,724.14"
2024-01-24,194.50,-0.68,-0.35%,195.42,194.34,196.38,"53,631,316","10,469,170,814.00","447,411,334,046.14"
2024-01-23,195.18,+1.29,+0.67%,195.02,193.83,195.75,"42,355,590","8,251,729,311.00","457,880,504,860.14"
2024-01-22,193.89,+2.33,+1.22%,192.30,192.26,195.33,"60,133,852","11,665,313,662.00","449,628,775,549.14"
2024-01-19,191.56,+2.93,+1.55%,189.33,188.82,191.95,"68,902,985","13,133,948,064.00","437,963,461,887.14"
2024-01-18,188.63,+5.95,+3.26%,186.09,185.83,189.14,"78,005,754","14,660,207,765.00","424,829,513,823.14"
2024-01-17,182.68,-0.95,-0.52%,181.27,180.30,182.93,"47,317,433","8,607,991,452.00","410,169,306,058.14"
2024-01-16,183.63,-2.29,-1.23%,182.16,180.93,184.26,"65,603,041","11,997,650,721.00","418,777,297,510.14"
2024-01-12,185.92,+0.33,+0.18%,186.06,185.19,186.74,"40,477,782","7,521,578,726.00","430,774,948,231.14"
2024-01-11,185.59,-0.60,-0.32%,186.54,183.62,187.05,"49,128,408","9,091,725,009.00","423,253,369,505.14"
2024-01-10,186.19,+1.05,+0.57%,184.35,183.92,186.40,"46,792,908","8,667,934,451.00","432,345,094,514.14"
2024-01-09,185.14,-0.42,-0.23%,183.92,182.73,185.15,"42,841,809","7,898,768,172.00","423,677,160,063.14"
2024-01-08,185.56,+4.38,+2.42%,182.09,181.50,185.60,"59,144,470","10,904,478,772.00","431,575,928,235.14"
2024-01-05,181.18,-0.73,-0.40%,181.99,180.17,182.76,"62,379,661","11,320,283,927.00","420,671,449,463.14"
2024-01-04,181.91,-2.34,-1.27%,182.15,180.88,183.09,"71,983,570","13,102,271,849.00","431,991,733,390.14"
2024-01-03,184.25,-1.39,-0.75%,184.22,183.43,185.88,"58,414,460","10,767,107,499.00","445,094,005,239.14"
2024-01-02,185.64,-6.89,-3.58%,187.15,183.89,188.44,"82,488,674","15,337,729,811.00","455,861,112,738.14"
2023-12-29,192.53,-1.05,-0.54%,193.90,191.73,194.40,"42,672,148","8,217,635,465.00","471,198,842,549.14"
2023-12-28,193.58,+0.43,+0.22%,194.14,193.17,194.66,"34,049,898","6,603,031,144.00","479,416,478,014.14"
2023-12-27,193.15,+0.10,+0.05%,192.49,191.09,193.50,"48,087,681","9,260,141,930.00","472,813,446,870.14"
2023-12-26,193.05,-0.55,-0.28%,193.61,192.83,193.89,"28,919,310","5,586,381,605.00","463,553,304,940.14"
2023-12-22,193.60,-1.08,-0.55%,195.18,192.97,195.41,"37,149,570","7,210,778,344.00","469,139,686,545.14"
2023-12-21,194.68,-0.15,-0.08%,196.10,193.50,197.08,"46,482,549","9,052,127,204.00","476,350,464,889.14"
2023-12-20,194.83,-2.11,-1.07%,196.90,194.83,197.68,"52,242,815","10,247,009,623.00","485,402,592,093.14"
2023-12-19,196.94,+1.05,+0.54%,196.16,195.89,196.95,"40,714,051","8,001,438,355.00","495,649,601,716.14"
2023-12-18,195.89,-1.68,-0.85%,196.09,194.39,196.63,"55,751,861","10,906,485,397.00","487,648,163,361.14"
2023-12-15,197.57,-0.54,-0.27%,197.53,197.00,198.40,"128,538,401","25,394,112,107.00","498,554,648,758.14"
2023-12-14,198.11,+0.15,+0.08%,198.02,196.16,199.62,"66,831,572","13,251,845,346.00","523,948,760,865.14"
