Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,174.45,+4.61,+2.71%,170.90,170.58,175.00,"56,985,986","9,881,071,016.00","926,378,571,838.41"
2024-02-08,169.84,-0.69,-0.40%,169.65,168.88,171.43,"42,316,454","7,205,085,093.00","916,497,500,822.41"
2024-02-07,170.53,+1.38,+0.82%,169.48,168.94,170.88,"47,174,060","8,028,130,586.00","923,702,585,915.41"
2024-02-06,169.15,-1.16,-0.68%,169.39,167.65,170.71,"42,505,518","7,178,387,795.00","915,674,455,329.41"
2024-02-05,170.31,-1.50,-0.87%,170.20,167.70,170.55,"55,081,297","9,337,620,755.00","922,852,843,124.41"
2024-02-02,171.81,+12.53,+7.87%,169.19,167.33,172.50,"117,218,313","20,036,799,640.00","932,190,463,879.41"
2024-02-01,159.28,+4.08,+2.63%,155.87,155.62,159.76,"76,542,419","12,299,535,596.00","912,153,664,239.41"
2024-01-31,155.20,-3.80,-2.39%,157.00,154.81,159.01,"50,284,371","7,857,900,711.00","899,854,128,643.41"
2024-01-30,159.00,-2.26,-1.40%,160.70,158.49,161.73,"45,207,430","7,210,535,066.00","907,712,029,354.41"
2024-01-29,161.26,+2.14,+1.34%,159.34,158.90,161.29,"45,270,385","7,255,798,875.00","914,922,564,420.41"
2024-01-26,159.12,+1.37,+0.87%,158.42,157.91,160.72,"51,047,353","8,125,965,229.00","907,666,765,545.41"
2024-01-25,157.75,+0.88,+0.56%,156.95,154.55,158.51,"43,638,592","6,857,885,120.00","899,540,800,316.41"
2024-01-24,156.87,+0.85,+0.54%,157.80,156.48,158.51,"48,547,315","7,641,349,934.00","892,682,915,196.41"
2024-01-23,156.02,+1.24,+0.80%,154.85,153.93,156.21,"37,986,039","5,900,139,615.00","885,041,565,262.41"
2024-01-22,154.78,-0.56,-0.36%,156.89,153.90,157.05,"43,687,468","6,769,012,903.00","879,141,425,647.41"
2024-01-19,155.34,+1.84,+1.20%,153.83,152.74,155.76,"51,651,628","7,985,931,231.00","885,910,438,550.41"
2024-01-18,153.50,+1.79,+1.18%,152.77,151.82,153.78,"37,850,245","5,796,135,745.00","877,924,507,319.41"
2024-01-17,151.71,-1.45,-0.95%,151.49,149.91,152.15,"34,953,363","5,285,952,674.00","872,128,371,574.41"
2024-01-16,153.16,-1.46,-0.94%,153.53,152.15,154.99,"41,384,636","6,337,408,461.00","877,414,324,248.41"
2024-01-12,154.62,-0.56,-0.36%,155.39,154.01,156.20,"40,484,155","6,267,910,283.00","883,751,732,709.41"
2024-01-11,155.18,+1.45,+0.94%,155.04,153.12,157.17,"49,072,691","7,607,157,334.00","890,019,642,992.41"
2024-01-10,153.73,+2.36,+1.56%,152.06,151.88,154.42,"44,421,830","6,816,630,340.00","882,412,485,658.41"
2024-01-09,151.37,+2.27,+1.52%,148.33,148.21,151.71,"43,812,567","6,599,535,230.00","875,595,855,318.41"
2024-01-08,149.10,+3.86,+2.66%,146.74,146.15,149.40,"46,757,053","6,935,184,107.00","868,996,320,088.41"
