Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,723.40,-0.76,-0.10%,725.14,720.12,725.53,"1,426,119","1,031,316,211.00","106,160,637,515.81"
2024-02-08,724.16,+4.38,+0.61%,723.89,720.66,728.17,"1,918,506","1,389,118,082.00","107,191,953,726.81"
2024-02-07,719.78,+8.99,+1.26%,714.15,712.00,723.32,"2,145,467","1,543,847,838.00","105,802,835,644.81"
2024-02-06,710.79,-0.37,-0.05%,711.23,704.34,712.72,"1,920,162","1,360,291,874.00","104,258,987,806.81"
2024-02-05,711.16,+1.68,+0.24%,710.64,705.68,712.86,"2,276,889","1,618,047,542.00","105,619,279,680.81"
2024-02-02,709.48,+5.00,+0.71%,703.34,702.26,714.28,"2,377,629","1,685,005,431.00","104,001,232,138.81"
2024-02-01,704.48,+9.60,+1.38%,694.00,691.50,705.30,"2,039,177","1,431,860,384.00","102,316,226,707.81"
2024-01-31,694.88,-5.86,-0.84%,701.32,693.04,705.52,"1,928,495","1,343,936,480.00","100,884,366,323.81"
2024-01-30,700.74,+6.73,+0.97%,692.94,690.80,702.65,"1,610,482","1,125,755,034.00","102,228,302,803.81"
2024-01-29,694.01,+7.13,+1.04%,689.90,686.26,694.13,"2,215,436","1,532,077,451.00","101,102,547,769.81"
2024-01-26,686.88,+6.98,+1.03%,680.08,679.50,687.24,"1,825,517","1,249,743,392.00","99,570,470,318.81"
2024-01-25,679.90,-6.61,-0.96%,686.50,675.96,686.50,"2,751,888","1,870,299,159.00","98,320,726,926.81"
2024-01-24,686.51,-1.08,-0.16%,689.00,683.12,689.97,"1,946,549","1,335,778,332.00","100,191,026,085.81"
2024-01-23,687.59,-4.92,-0.71%,690.72,684.63,691.63,"2,208,580","1,517,796,339.00","101,526,804,417.81"
2024-01-22,692.51,-2.46,-0.35%,695.43,690.52,698.66,"2,452,868","1,703,085,628.00","103,044,600,756.81"
2024-01-19,694.97,+7.66,+1.11%,688.50,682.67,696.13,"2,267,866","1,570,205,421.00","104,747,686,384.81"
2024-01-18,687.31,+3.12,+0.46%,682.83,680.21,687.72,"1,900,615","1,302,149,185.00","103,177,480,963.81"
2024-01-17,684.19,+2.70,+0.40%,680.50,679.19,684.87,"1,786,799","1,219,941,505.00","101,875,331,778.81"
2024-01-16,681.49,-1.75,-0.26%,683.24,678.16,686.52,"1,626,699","1,108,194,753.00","100,655,390,273.81"
2024-01-12,683.24,+9.66,+1.43%,677.50,676.11,683.72,"2,388,399","1,626,019,281.00","101,763,585,026.81"
2024-01-11,673.58,+0.82,+0.12%,671.00,667.64,674.51,"1,670,780","1,122,795,823.00","100,137,565,745.81"
2024-01-10,672.76,+5.58,+0.84%,669.56,669.01,673.83,"1,801,881","1,210,680,444.00","99,014,769,922.81"
2024-01-09,667.18,+5.49,+0.83%,658.88,658.26,667.29,"1,886,171","1,253,093,224.00","97,804,089,478.81"
2024-01-08,661.69,+5.68,+0.87%,655.81,654.03,662.08,"2,245,294","1,479,873,515.00","96,550,996,254.81"
2024-01-05,656.01,+7.66,+1.18%,656.18,652.24,659.65,"2,233,451","1,465,122,339.00","95,071,122,739.81"
2024-01-04,648.35,+3.66,+0.57%,642.08,640.51,649.90,"2,171,077","1,404,847,847.00","93,606,000,400.81"
2024-01-03,644.69,-5.96,-0.92%,651.21,643.10,655.45,"2,612,563","1,691,602,100.00","92,201,152,553.81"
2024-01-02,650.65,-9.43,-1.43%,655.58,649.50,657.80,"2,657,689","1,734,446,787.00","93,892,754,653.81"
2023-12-29,660.08,-3.02,-0.46%,661.00,657.16,663.19,"1,947,516","1,284,420,190.00","95,627,201,440.81"
