Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,150.22,+3.00,+2.04%,147.95,147.43,150.70,"21,877,693","3,275,761,012.00","230,168,780,835.55"
2024-02-08,147.22,+0.54,+0.37%,146.97,146.42,147.61,"18,241,319","2,683,433,428.00","226,893,019,823.55"
2024-02-07,146.68,+1.27,+0.87%,146.12,145.21,147.00,"21,436,126","3,138,184,016.00","224,209,586,395.55"
2024-02-06,145.41,+0.48,+0.33%,145.96,144.52,146.74,"21,517,655","3,128,872,784.00","221,071,402,379.55"
2024-02-05,144.93,+1.39,+0.97%,144.04,143.91,146.67,"29,254,444","4,248,184,710.00","217,942,529,595.55"
2024-02-02,143.54,+0.83,+0.58%,140.89,138.17,143.88,"42,136,127","5,968,071,770.00","213,694,344,885.55"
2024-02-01,142.71,+0.91,+0.64%,143.69,142.26,144.62,"25,526,855","3,653,742,622.00","207,726,273,115.55"
2024-01-31,141.80,-11.25,-7.35%,145.39,141.55,145.59,"43,908,584","6,288,462,731.00","204,072,530,493.55"
2024-01-30,153.05,-1.79,-1.16%,154.01,152.78,155.04,"26,578,934","4,063,077,604.00","210,360,993,224.55"
2024-01-29,154.84,+1.05,+0.68%,153.64,152.92,155.20,"20,909,258","3,223,229,412.00","214,424,070,828.55"
2024-01-26,153.79,+0.15,+0.10%,152.87,152.80,154.11,"19,494,488","2,993,184,267.00","211,200,841,416.55"
2024-01-25,153.64,+3.29,+2.19%,151.74,151.22,154.76,"21,495,120","3,297,713,047.00","208,207,657,149.55"
2024-01-24,150.35,+1.67,+1.12%,150.29,149.84,151.57,"19,245,031","2,899,678,492.00","204,909,944,102.55"
2024-01-23,148.68,+0.97,+0.66%,147.72,147.19,148.86,"14,113,649","2,093,256,997.00","202,010,265,610.55"
2024-01-22,147.71,-0.26,-0.18%,148.71,147.58,150.02,"21,829,232","3,242,394,616.00","199,917,008,613.55"
2024-01-19,147.97,+2.98,+2.06%,146.31,145.80,148.04,"27,181,032","4,005,546,275.00","203,159,403,229.55"
2024-01-18,144.99,+2.10,+1.47%,143.44,143.35,145.59,"18,876,800","2,731,273,197.00","199,153,856,954.55"
2024-01-17,142.89,-1.19,-0.83%,142.91,140.51,143.41,"17,884,548","2,543,378,354.00","196,422,583,757.55"
2024-01-16,144.08,-0.16,-0.11%,143.43,143.06,145.84,"19,198,939","2,767,009,140.00","198,965,962,111.55"
2024-01-12,144.24,+0.57,+0.40%,144.34,143.36,144.74,"13,998,729","2,018,958,445.00","201,732,971,251.55"
