Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,470.24,-2.74,-0.58%,466.61,458.78,471.26,"1,350,033","631,168,545.00","53,882,566,566.41"
2024-02-08,472.98,+15.23,+3.33%,463.27,460.98,476.62,"1,510,301","714,014,889.00","54,513,735,111.41"
2024-02-07,457.75,+1.21,+0.27%,459.04,456.20,463.25,"1,013,491","465,407,046.00","53,799,720,222.41"
2024-02-06,456.54,-0.19,-0.04%,457.31,450.06,459.66,"1,531,041","695,795,728.00","53,334,313,176.41"
2024-02-05,456.73,-5.67,-1.23%,458.41,450.55,459.05,"1,166,123","530,957,738.00","54,030,108,904.41"
2024-02-02,462.40,+0.46,+0.10%,458.50,454.62,464.62,"1,144,317","527,708,697.00","54,561,066,642.41"
2024-02-01,461.94,+8.12,+1.79%,454.90,454.02,463.03,"1,526,234","701,409,905.00","54,033,357,945.41"
2024-01-31,453.82,-27.58,-5.73%,472.02,451.35,473.10,"2,879,176","1,321,275,561.00","53,331,948,040.41"
2024-01-30,481.40,-0.59,-0.12%,481.99,479.76,491.30,"1,295,082","626,522,449.00","54,653,223,601.41"
2024-01-29,481.99,+3.96,+0.83%,478.03,475.74,482.44,"1,072,354","515,477,617.00","55,279,746,050.41"
2024-01-26,478.03,+3.73,+0.79%,475.00,470.65,484.31,"1,128,703","539,209,681.00","54,764,268,433.41"
2024-01-25,474.30,-0.54,-0.11%,475.22,468.16,476.94,"964,272","456,014,786.00","54,225,058,752.41"
2024-01-24,474.84,-2.16,-0.45%,477.00,472.67,480.96,"1,399,552","666,797,599.00","54,681,073,538.41"
2024-01-23,477.00,-4.89,-1.01%,480.22,474.50,481.89,"1,038,633","495,623,604.00","55,347,871,137.41"
2024-01-22,481.89,-2.13,-0.44%,483.00,477.62,483.30,"909,543","437,428,237.00","55,843,494,741.41"
2024-01-19,484.02,+6.57,+1.38%,477.76,475.05,484.75,"1,257,685","605,701,882.00","56,280,922,978.41"
2024-01-18,477.45,+9.05,+1.93%,472.19,468.84,478.46,"1,482,452","704,652,174.00","55,675,221,096.41"
2024-01-17,468.40,-2.33,-0.49%,469.18,462.84,469.58,"1,347,080","629,316,312.00","54,970,568,922.41"
2024-01-16,470.73,-9.21,-1.92%,478.05,467.58,478.05,"1,370,236","646,362,059.00","55,599,885,234.41"
2024-01-12,479.94,-5.54,-1.14%,488.08,479.09,490.84,"1,050,700","506,803,531.00","56,246,247,293.41"
2024-01-11,485.48,+1.38,+0.29%,483.39,478.16,486.21,"823,650","397,570,801.00","56,753,050,824.41"
2024-01-10,484.10,-1.61,-0.33%,488.00,482.59,488.51,"1,275,950","618,146,905.00","56,355,480,023.41"
2024-01-09,485.71,-5.77,-1.17%,488.93,483.09,489.93,"1,242,919","604,197,858.00","56,973,626,928.41"
2024-01-08,491.48,+0.38,+0.08%,488.47,478.13,493.49,"1,827,336","893,029,834.00","57,577,824,786.41"
2024-01-05,491.10,-4.90,-0.99%,495.92,490.69,499.21,"1,121,647","553,715,414.00","56,684,794,952.41"
2024-01-04,496.00,-2.02,-0.41%,496.90,495.01,502.00,"1,174,377","584,097,156.00","57,238,510,366.41"
2024-01-03,498.02,-7.36,-1.46%,501.89,496.69,503.95,"1,029,222","513,431,416.00","57,822,607,522.41"
2024-01-02,505.38,-5.91,-1.16%,508.57,502.15,508.92,"1,187,757","599,937,364.00","58,336,038,938.41"
2023-12-29,511.29,+2.07,+0.41%,509.87,508.46,516.39,"918,270","469,820,597.00","58,935,976,302.41"
2023-12-28,509.22,+0.41,+0.08%,510.46,508.27,512.48,"688,860","351,008,988.00","58,466,155,705.41"
2023-12-27,508.81,+2.49,+0.49%,506.00,505.53,509.88,"816,575","415,360,406.00","58,115,146,717.41"
2023-12-26,506.32,-3.68,-0.72%,513.24,505.52,513.50,"887,427","450,357,394.00","57,699,786,311.41"
2023-12-22,510.00,-1.03,-0.20%,502.60,502.22,510.48,"1,179,503","598,015,851.00","58,150,143,705.41"
2023-12-21,511.03,+5.88,+1.16%,507.86,505.51,511.27,"896,575","456,787,718.00","58,748,159,556.41"
2023-12-20,505.15,-1.71,-0.34%,504.51,503.95,511.60,"1,062,989","539,573,591.00","58,291,371,838.41"
2023-12-19,506.86,+5.23,+1.04%,503.58,502.83,509.33,"1,174,818","594,843,538.00","58,830,945,429.41"
2023-12-18,501.63,+10.17,+2.07%,490.01,488.42,501.72,"1,230,823","613,648,735.00","58,236,101,891.41"
2023-12-15,491.46,+2.16,+0.44%,486.46,483.81,492.19,"2,677,402","1,311,258,677.00","57,622,453,156.41"
2023-12-14,489.30,-15.20,-3.01%,505.06,487.19,505.63,"2,649,550","1,302,541,517.00","56,311,194,479.41"
2023-12-13,504.50,+0.85,+0.17%,502.83,494.09,508.43,"1,698,873","852,135,377.00","57,613,735,996.41"
2023-12-12,503.65,+0.91,+0.18%,503.00,495.68,504.40,"1,717,113","860,895,343.00","56,761,600,619.41"
2023-12-11,502.74,+13.10,+2.68%,493.95,490.00,507.44,"2,798,989","1,404,927,419.00","55,900,705,276.41"
2023-12-08,489.64,+24.97,+5.37%,455.88,448.81,493.80,"7,144,393","3,447,508,098.00","54,495,777,857.41"
2023-12-07,464.67,+4.00,+0.87%,460.67,460.60,466.63,"3,243,457","1,491,718,855.00","51,048,269,759.41"
2023-12-06,460.67,+3.74,+0.82%,459.28,458.27,464.06,"1,387,195","639,479,535.00","49,556,550,904.41"
2023-12-05,456.93,-3.83,-0.83%,454.76,452.53,462.27,"1,793,505","820,868,160.00","48,917,071,369.41"
2023-12-04,460.76,-5.85,-1.25%,459.20,452.23,463.37,"2,637,054","1,208,554,561.00","49,737,939,529.41"
2023-12-01,466.61,+19.81,+4.43%,447.60,447.60,467.63,"2,456,799","1,134,880,924.00","50,946,494,090.41"
2023-11-30,446.80,+8.45,+1.93%,439.77,438.60,448.73,"2,372,030","1,055,303,444.00","49,811,613,166.41"
2023-11-29,438.35,+10.62,+2.48%,429.20,428.60,439.76,"1,658,939","723,505,760.00","48,756,309,722.41"
2023-11-28,427.73,-7.94,-1.82%,435.57,427.09,436.66,"1,353,950","580,571,516.00","48,032,803,962.41"
2023-11-27,435.67,+3.91,+0.91%,430.05,430.05,437.81,"1,074,804","467,667,106.00","48,613,375,478.41"
2023-11-24,431.76,+3.13,+0.73%,428.30,426.35,432.27,"401,723","173,264,864.00","48,145,708,372.41"
2023-11-22,428.63,-1.74,-0.40%,430.82,428.19,435.07,"800,639","344,726,300.00","47,972,443,508.41"
2023-11-21,430.37,+1.79,+0.42%,426.65,425.75,431.92,"867,465","373,100,092.00","48,317,169,808.41"
2023-11-20,428.58,+6.14,+1.45%,423.89,422.78,429.59,"866,092","369,985,513.00","47,944,069,716.41"
2023-11-17,422.44,+2.16,+0.51%,425.22,421.04,425.67,"1,219,910","516,410,085.00","47,574,084,203.41"
2023-11-16,420.28,-11.91,-2.76%,430.67,416.55,431.50,"1,706,800","716,568,292.00","47,057,674,118.41"
2023-11-15,432.19,+1.86,+0.43%,433.09,431.45,437.06,"1,257,545","545,368,383.00","47,774,242,410.41"
2023-11-14,430.33,+13.35,+3.20%,422.66,421.69,431.10,"1,566,488","671,961,211.00","47,228,874,027.41"
2023-11-13,416.98,+3.31,+0.80%,410.48,409.80,418.61,"1,277,313","531,376,873.00","46,556,912,816.41"
2023-11-10,413.67,+7.09,+1.74%,407.51,404.89,413.90,"1,039,210","426,813,234.00","46,025,535,943.41"
2023-11-09,406.58,-3.06,-0.75%,410.75,404.69,410.75,"922,786","375,883,737.00","45,598,722,709.41"
2023-11-08,409.64,-4.05,-0.98%,415.00,409.32,415.15,"714,688","294,314,191.00","45,974,606,446.41"
2023-11-07,413.69,+5.74,+1.41%,409.90,406.00,414.48,"1,175,811","485,087,475.00","46,268,920,637.41"
2023-11-06,407.95,+0.02,+0.00%,411.50,404.51,412.27,"827,056","336,472,125.00","45,783,833,162.41"
2023-11-03,407.93,+4.43,+1.10%,408.78,406.27,412.03,"1,231,142","503,003,042.00","45,447,361,037.41"
2023-11-02,403.50,+8.21,+2.08%,398.91,398.70,404.87,"1,389,996","559,828,899.00","44,944,357,995.41"
2023-11-01,395.29,+1.81,+0.46%,393.31,385.26,395.81,"1,312,643","515,301,906.00","44,384,529,096.41"
2023-10-31,393.48,+1.73,+0.44%,391.75,389.01,395.70,"1,084,282","426,022,896.00","43,869,227,190.41"
2023-10-30,391.75,+4.93,+1.27%,388.44,387.75,393.27,"1,005,341","393,396,206.00","43,443,204,294.41"
2023-10-27,386.82,-1.80,-0.46%,390.00,384.37,392.21,"1,448,601","561,159,385.00","43,049,808,088.41"
2023-10-26,388.62,-8.08,-2.04%,393.18,386.00,394.04,"1,837,152","715,766,048.00","43,610,967,473.41"
2023-10-25,396.70,-6.67,-1.65%,401.00,396.12,403.82,"1,309,694","522,000,498.00","44,326,733,521.41"
2023-10-24,403.37,+0.91,+0.23%,405.61,398.34,405.61,"1,575,826","634,158,885.00","44,848,734,019.41"
2023-10-23,402.46,+6.64,+1.68%,394.92,392.08,406.81,"1,827,884","735,015,854.00","44,214,575,134.41"
2023-10-20,395.82,-0.37,-0.09%,397.43,389.00,398.13,"1,937,679","764,893,342.00","43,479,559,280.41"
2023-10-19,396.19,-9.42,-2.32%,407.01,394.58,408.21,"2,628,202","1,048,197,304.00","44,244,452,622.41"
2023-10-18,405.61,-7.33,-1.78%,412.02,404.77,417.20,"3,750,070","1,534,570,706.00","45,292,649,926.41"
2023-10-17,412.94,-3.70,-0.89%,415.00,412.19,419.86,"28,064,730","11,606,928,697.00","46,827,220,632.41"
2023-10-16,416.64,+38.95,+10.31%,402.24,401.84,419.01,"11,454,193","4,730,260,639.00","58,434,149,329.41"
2023-10-13,377.69,+3.75,+1.00%,375.00,374.40,384.60,"1,969,913","747,885,468.00","53,703,888,690.41"
2023-10-12,373.94,+0.58,+0.16%,374.90,366.99,374.90,"1,251,110","464,762,955.00","52,956,003,222.41"
2023-10-11,373.36,+0.33,+0.09%,374.00,368.24,375.96,"1,046,497","389,651,950.00","52,491,240,267.41"
2023-10-10,373.03,+0.39,+0.10%,372.64,371.44,378.84,"1,178,519","441,975,798.00","52,101,588,317.41"
2023-10-09,372.64,+5.42,+1.48%,366.90,363.57,372.87,"1,079,256","399,137,901.00","51,659,612,519.41"
