Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,468.11,-1.89,-0.40%,472.95,467.47,473.59,"18,413,137","8,648,882,574.00","524,803,727,944.64"
2024-02-08,470.00,+0.41,+0.09%,468.32,465.03,470.59,"18,815,097","8,814,456,467.00","533,452,610,518.64"
2024-02-07,469.59,+14.87,+3.27%,458.00,456.18,471.52,"23,065,994","10,791,936,152.00","524,638,154,051.64"
2024-02-06,454.72,-4.69,-1.02%,464.00,453.00,467.12,"21,655,214","9,909,491,151.00","513,846,217,899.64"
2024-02-05,459.41,-15.58,-3.28%,469.88,459.22,471.90,"40,832,376","18,923,578,870.00","523,755,709,050.64"
2024-02-02,474.99,+80.21,+20.32%,459.60,453.01,485.96,"84,707,646","40,128,178,853.00","542,679,287,920.64"
2024-02-01,394.78,+4.64,+1.19%,393.94,393.05,400.50,"29,727,051","12,231,045,921.00","502,551,109,067.64"
2024-01-31,390.14,-9.92,-2.48%,389.00,387.10,398.00,"20,180,817","7,926,624,188.00","490,320,063,146.64"
2024-01-30,400.06,-0.96,-0.24%,403.59,399.57,406.36,"18,614,727","7,488,804,921.00","498,246,687,334.64"
2024-01-29,401.02,+6.88,+1.75%,394.99,393.10,402.93,"18,742,433","7,492,620,537.00","505,735,492,255.64"
2024-01-26,394.14,+0.96,+0.24%,394.35,391.59,396.79,"13,159,290","5,194,328,404.00","498,242,871,718.64"
2024-01-25,393.18,+2.48,+0.63%,390.17,385.66,395.49,"15,091,080","5,926,178,113.00","493,048,543,314.64"
2024-01-24,390.70,+5.50,+1.43%,390.00,387.81,396.15,"15,604,285","6,120,411,143.00","487,122,365,201.64"
2024-01-23,385.20,+3.42,+0.90%,384.62,382.08,388.38,"15,506,096","5,973,433,601.00","481,001,954,058.64"
2024-01-22,381.78,-1.67,-0.44%,387.95,381.16,390.35,"17,680,454","6,792,473,862.00","475,028,520,457.64"
2024-01-19,383.45,+7.32,+1.95%,379.00,377.97,384.36,"21,670,806","8,281,177,829.00","481,820,994,319.64"
2024-01-18,376.13,+7.76,+2.11%,371.49,370.95,376.85,"16,354,332","6,128,358,109.00","473,539,816,490.64"
2024-01-17,368.37,+0.91,+0.25%,366.30,358.61,368.54,"12,724,779","4,649,904,634.00","467,411,458,381.64"
2024-01-16,367.46,-7.03,-1.88%,373.65,367.23,375.61,"15,306,885","5,657,406,029.00","462,761,553,747.64"
2024-01-12,374.49,+4.82,+1.30%,370.16,369.54,377.06,"19,310,046","7,228,497,218.00","468,418,959,776.64"
2024-01-11,369.67,-0.80,-0.22%,372.13,362.93,372.78,"17,205,385","6,331,031,132.00","461,190,462,558.64"
2024-01-10,370.47,+13.04,+3.65%,360.17,359.08,372.94,"22,117,206","8,160,342,238.00","467,521,493,690.64"
2024-01-09,357.43,-1.23,-0.34%,356.40,355.36,360.64,"13,463,871","4,821,994,616.00","459,361,151,452.64"
2024-01-08,358.66,+6.71,+1.91%,354.70,352.05,358.98,"13,890,222","4,946,910,801.00","464,183,146,068.64"
2024-01-05,351.95,+4.83,+1.39%,346.99,346.26,353.50,"13,750,912","4,827,795,125.00","459,236,235,267.64"
2024-01-04,347.12,+2.65,+0.77%,344.50,343.40,348.15,"12,099,895","4,192,304,465.00","454,408,440,142.64"
2024-01-03,344.47,-1.82,-0.53%,344.98,343.18,347.95,"15,451,133","5,332,733,167.00","450,216,135,677.64"
2024-01-02,346.29,-7.67,-2.17%,351.32,340.01,353.16,"19,042,152","6,566,294,136.00","455,548,868,844.64"
2023-12-29,353.96,-4.36,-1.22%,358.99,351.82,360.00,"14,987,092","5,313,461,858.00","462,115,162,980.64"
2023-12-28,358.32,+0.49,+0.14%,359.70,357.81,361.90,"11,798,807","4,243,320,740.00","467,428,624,838.64"
2023-12-27,357.83,+3.00,+0.85%,356.07,355.31,359.00,"13,207,928","4,721,255,942.00","463,185,304,098.64"
2023-12-26,354.83,+1.44,+0.41%,354.99,353.45,356.98,"9,898,614","3,514,393,053.00","458,464,048,156.64"
2023-12-22,353.39,-0.70,-0.20%,355.58,351.22,357.20,"11,772,779","4,166,293,796.00","454,949,655,103.64"
2023-12-21,354.09,+4.81,+1.38%,352.98,349.21,356.41,"15,289,556","5,391,778,308.00","459,115,948,899.64"
2023-12-20,349.28,-1.08,-0.31%,348.65,347.79,354.96,"16,369,850","5,749,200,648.00","453,724,170,591.64"
2023-12-19,350.36,+5.74,+1.67%,345.58,345.12,353.60,"17,729,362","6,215,121,635.00","459,473,371,239.64"
2023-12-18,344.62,+9.70,+2.90%,337.48,337.02,347.56,"18,993,852","6,536,543,579.00","453,258,249,604.64"
2023-12-15,334.92,+1.75,+0.53%,331.99,331.22,338.66,"31,776,852","10,647,736,584.00","446,721,706,025.64"
2023-12-14,333.17,-1.57,-0.47%,333.85,328.64,334.70,"19,607,335","6,511,176,710.00","436,073,969,441.64"
2023-12-13,334.74,+0.52,+0.16%,333.93,332.64,338.37,"16,353,321","5,481,350,322.00","442,585,146,151.64"
2023-12-12,334.22,+8.94,+2.75%,324.60,324.56,334.47,"18,485,461","6,123,001,280.00","437,103,795,829.64"
2023-12-11,325.28,-7.47,-2.24%,329.40,320.00,329.89,"25,802,462","8,359,328,775.00","430,980,794,549.64"
2023-12-08,332.75,+6.16,+1.89%,323.09,323.00,333.17,"14,087,351","4,658,088,379.00","439,340,123,324.64"
2023-12-07,326.59,+9.14,+2.88%,317.77,317.77,328.24,"15,905,079","5,174,281,203.00","434,682,034,945.64"
2023-12-06,317.45,-0.84,-0.26%,321.93,317.04,322.25,"11,294,337","3,603,878,192.00","429,507,753,742.64"
2023-12-05,318.29,-1.73,-0.54%,318.98,315.39,321.88,"16,952,128","5,394,699,116.00","433,111,631,934.64"
2023-12-04,320.02,-4.80,-1.48%,317.29,313.66,320.86,"19,037,080","6,044,544,712.00","438,506,331,050.64"
2023-12-01,324.82,-2.33,-0.71%,325.48,320.76,326.86,"15,276,375","4,945,000,142.00","444,550,875,762.64"
2023-11-30,327.15,-5.05,-1.52%,331.89,322.40,333.50,"23,146,387","7,556,823,592.00","449,495,875,904.64"
2023-11-29,332.20,-6.79,-2.00%,339.69,330.78,339.90,"16,024,497","5,347,809,126.00","457,052,699,496.64"
2023-11-28,338.99,+4.29,+1.28%,333.40,333.40,339.38,"12,637,245","4,252,817,546.00","462,400,508,622.64"
2023-11-27,334.70,-3.53,-1.04%,336.18,334.20,339.90,"15,684,454","5,282,088,309.00","458,147,691,076.64"
2023-11-24,338.23,-3.26,-0.95%,340.13,336.77,341.86,"5,467,488","1,850,877,157.00","463,429,779,385.64"
2023-11-22,341.49,+4.51,+1.34%,339.21,338.58,342.92,"10,715,177","3,656,105,385.00","465,280,656,542.64"
2023-11-21,336.98,-2.99,-0.88%,338.33,335.90,339.90,"12,027,863","4,062,976,393.00","461,624,551,157.64"
