Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,420.55,+6.44,+1.56%,415.25,415.09,420.82,"22,032,844","9,226,455,593.00","555,990,714,391.87"
2024-02-08,414.11,+0.06,+0.01%,414.05,412.53,415.56,"21,225,257","8,783,711,488.00","546,764,258,798.87"
2024-02-07,414.05,+8.56,+2.11%,407.44,407.40,414.30,"22,340,526","9,202,469,139.00","537,980,547,310.87"
2024-02-06,405.49,-0.16,-0.04%,405.88,402.91,407.97,"18,382,624","7,442,495,180.00","528,778,078,171.87"
2024-02-05,405.65,-5.57,-1.35%,409.90,403.99,411.16,"25,352,286","10,298,999,967.00","536,220,573,351.87"
2024-02-02,411.22,+7.44,+1.84%,403.81,403.56,412.65,"28,256,670","11,582,226,360.00","546,519,573,318.87"
2024-02-01,403.78,+6.20,+1.56%,401.83,401.80,408.00,"30,657,726","12,399,921,324.00","534,937,346,958.87"
2024-01-31,397.58,-11.01,-2.69%,406.96,397.21,415.32,"47,871,097","19,294,112,923.00","522,537,425,634.87"
2024-01-30,408.59,-1.13,-0.28%,412.26,406.45,413.05,"33,477,610","13,682,561,181.00","541,831,538,557.87"
2024-01-29,409.72,+5.79,+1.43%,406.06,404.33,409.98,"24,510,236","10,002,833,461.00","555,514,099,738.87"
2024-01-26,403.93,-0.94,-0.23%,404.37,402.43,406.17,"17,803,271","7,192,957,980.00","545,511,266,277.87"
2024-01-25,404.87,+2.31,+0.57%,404.32,402.53,407.01,"21,021,155","8,509,940,859.00","552,704,224,257.87"
2024-01-24,402.56,+3.66,+0.92%,401.54,400.45,405.63,"24,866,953","10,023,922,614.00","544,194,283,398.87"
2024-01-23,398.90,+2.39,+0.60%,395.75,393.93,399.38,"20,525,882","8,155,520,046.00","534,170,360,784.87"
2024-01-22,396.51,-2.16,-0.54%,400.02,393.59,400.62,"27,016,902","10,721,742,491.00","526,014,840,738.87"
2024-01-19,398.67,+4.80,+1.22%,395.76,393.50,398.67,"29,331,136","11,636,290,324.00","536,736,583,229.87"
2024-01-18,393.87,+4.40,+1.13%,391.72,390.12,393.99,"23,392,068","9,186,545,860.00","525,100,292,905.87"
2024-01-17,389.47,-0.80,-0.20%,387.98,384.81,390.11,"22,234,108","8,635,107,394.00","515,913,747,045.87"
2024-01-16,390.27,+1.80,+0.46%,393.66,387.62,394.03,"27,202,268","10,627,925,572.00","524,548,854,439.87"
2024-01-12,388.47,+3.84,+1.00%,385.49,384.65,388.68,"21,661,153","8,391,642,668.00","513,920,928,867.87"
2024-01-11,384.63,+1.86,+0.49%,386.00,380.38,390.68,"27,850,846","10,712,225,205.00","505,529,286,199.87"
2024-01-10,382.77,+6.98,+1.86%,376.37,376.32,384.17,"25,514,245","9,737,025,680.00","494,817,060,994.87"
2024-01-09,375.79,+1.10,+0.29%,372.01,371.19,375.99,"20,829,953","7,800,192,757.00","485,080,035,314.87"
2024-01-08,374.69,+6.94,+1.89%,369.30,369.01,375.20,"23,133,967","8,626,896,430.00","477,279,842,557.87"
2024-01-05,367.75,-0.19,-0.05%,368.97,366.50,372.06,"21,004,575","7,749,657,066.00","468,652,946,127.87"
2024-01-04,367.94,-2.66,-0.72%,370.67,367.17,373.10,"20,901,502","7,729,539,770.00","476,402,603,193.87"
2024-01-03,370.60,-0.27,-0.07%,369.01,368.51,373.26,"23,083,465","8,567,761,139.00","484,132,142,963.87"
2024-01-02,370.87,-5.17,-1.37%,373.86,366.77,375.90,"25,258,633","9,346,851,391.00","492,699,904,102.87"
2023-12-29,376.04,+0.76,+0.20%,376.00,373.48,377.16,"18,730,838","7,040,044,780.00","502,046,755,493.87"
2023-12-28,375.28,+1.21,+0.32%,375.37,374.16,376.46,"14,327,013","5,379,015,998.00","495,006,710,713.87"
2023-12-27,374.07,-0.59,-0.16%,373.69,372.81,375.06,"14,905,412","5,571,525,003.00","489,627,694,715.87"
2023-12-26,374.66,+0.08,+0.02%,375.00,373.50,376.94,"12,673,050","4,748,761,597.00","495,199,219,718.87"
2023-12-22,374.58,+1.04,+0.28%,373.68,372.71,375.18,"17,107,484","6,405,223,443.00","490,450,458,121.87"
2023-12-21,373.54,+2.92,+0.79%,372.56,370.04,374.41,"17,708,006","6,593,661,006.00","484,045,234,678.87"
