Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,721.33,+24.92,+3.58%,705.33,702.12,721.85,"43,663,689","31,200,562,221.00","1,386,118,243,281.09"
2024-02-08,696.41,-4.58,-0.65%,700.74,694.55,707.94,"41,442,211","29,047,077,613.00","1,354,917,681,060.09"
2024-02-07,700.99,+18.76,+2.75%,683.19,676.00,702.20,"49,557,455","34,326,764,232.00","1,383,964,758,673.09"
2024-02-06,682.23,-11.09,-1.60%,696.30,663.00,697.54,"68,311,136","46,347,349,967.00","1,349,637,994,441.09"
2024-02-05,693.32,+31.72,+4.79%,682.25,672.05,694.97,"68,007,801","46,694,598,218.00","1,395,985,344,408.09"
2024-02-02,661.60,+31.33,+4.97%,639.74,636.90,666.00,"47,657,765","31,264,844,828.00","1,349,290,746,190.09"
2024-02-01,630.27,+15.00,+2.44%,621.00,616.50,631.91,"36,914,579","23,061,179,999.00","1,318,025,901,362.09"
2024-01-31,615.27,-12.47,-1.99%,614.40,607.00,622.69,"45,379,487","27,913,264,972.00","1,294,964,721,363.09"
2024-01-30,627.74,+3.09,+0.49%,629.00,622.60,634.93,"41,073,530","25,818,632,752.00","1,322,877,986,335.09"
2024-01-29,624.65,+14.34,+2.35%,612.32,609.07,624.89,"34,873,298","21,574,204,502.00","1,297,059,353,583.09"
2024-01-26,610.31,-5.86,-0.95%,609.60,605.73,617.83,"39,030,859","23,867,997,157.00","1,275,485,149,081.09"
2024-01-25,616.17,+2.55,+0.42%,623.50,608.50,627.19,"48,277,684","29,886,375,959.00","1,299,353,146,238.09"
2024-01-24,613.62,+14.89,+2.49%,603.04,599.38,628.49,"56,027,076","34,578,570,189.00","1,269,466,770,279.09"
2024-01-23,598.73,+2.19,+0.37%,595.70,585.85,599.10,"29,465,445","17,523,845,217.00","1,234,888,200,090.09"
2024-01-22,596.54,+1.63,+0.27%,600.49,590.70,603.31,"45,295,463","27,076,151,189.00","1,217,364,354,873.09"
2024-01-19,594.91,+23.84,+4.17%,579.89,572.25,595.00,"54,350,148","31,817,080,805.00","1,190,288,203,684.09"
2024-01-18,571.07,+10.54,+1.88%,572.60,561.07,576.00,"49,165,036","28,063,074,999.00","1,158,471,122,879.09"
2024-01-17,560.53,-3.29,-0.58%,563.47,547.40,564.71,"47,439,444","26,410,306,124.00","1,130,408,047,880.09"
2024-01-16,563.82,+16.72,+3.06%,550.18,549.00,568.35,"44,957,973","25,231,270,323.00","1,156,818,354,004.09"
2024-01-12,547.10,-1.12,-0.20%,546.20,543.30,549.70,"35,299,360","19,298,423,549.00","1,131,587,083,681.09"
2024-01-11,548.22,+4.72,+0.87%,549.99,535.60,553.46,"59,675,877","32,582,872,682.00","1,150,885,507,230.09"
2024-01-10,543.50,+12.10,+2.28%,536.16,534.89,546.00,"53,379,576","28,912,469,124.00","1,118,302,634,548.09"
2024-01-09,531.40,+8.87,+1.70%,524.01,516.90,543.25,"77,310,006","41,063,650,026.00","1,089,390,165,424.09"
2024-01-08,522.53,+31.56,+6.43%,495.12,494.79,522.75,"64,250,990","32,984,821,330.00","1,048,326,515,398.09"
2024-01-05,490.97,+10.99,+2.29%,484.62,483.06,495.47,"41,503,927","20,345,014,942.00","1,015,341,694,068.09"
2024-01-04,479.98,+4.29,+0.90%,477.67,475.08,485.00,"30,653,489","14,741,175,919.00","994,996,679,126.09"
2024-01-03,475.69,-5.99,-1.24%,474.85,473.20,481.84,"32,089,617","15,296,377,674.00","980,255,503,207.09"
2024-01-02,481.68,-13.54,-2.73%,492.44,475.95,492.95,"41,125,422","19,767,427,708.00","995,551,880,881.09"
2023-12-29,495.22,0.00,0.00%,498.13,487.51,499.97,"38,929,330","19,277,711,701.00","1,015,319,308,589.09"
2023-12-28,495.22,+1.05,+0.21%,496.43,494.12,498.84,"24,658,748","12,241,180,112.00","996,041,596,888.09"
2023-12-27,494.17,+1.38,+0.28%,495.11,490.85,496.80,"23,364,798","11,532,553,719.00","983,800,416,776.09"
2023-12-26,492.79,+4.49,+0.92%,489.68,489.60,496.00,"24,419,952","12,052,912,163.00","972,267,863,057.09"
2023-12-22,488.30,-1.60,-0.33%,491.95,484.67,493.83,"25,250,676","12,367,445,827.00","960,214,950,894.09"
2023-12-21,489.90,+8.79,+1.83%,488.11,484.19,490.95,"30,042,535","14,643,995,406.00","972,582,396,721.09"
2023-12-20,481.11,-14.93,-3.01%,496.55,480.98,499.99,"39,789,439","19,568,384,395.00","957,938,401,315.09"
2023-12-19,496.04,-4.73,-0.94%,494.24,488.95,497.00,"46,444,446","22,903,980,456.00","977,506,785,710.09"
2023-12-18,500.77,+11.87,+2.43%,494.00,491.50,504.33,"41,258,717","20,587,107,207.00","1,000,410,766,166.09"
2023-12-15,488.90,+5.40,+1.12%,481.94,481.20,494.04,"47,994,758","23,488,985,018.00","979,823,658,959.09"
2023-12-14,483.50,+2.62,+0.54%,483.90,474.22,486.70,"39,123,174","18,829,631,311.00","956,334,673,941.09"
2023-12-13,480.88,+4.31,+0.90%,476.29,476.08,485.94,"44,779,186","21,573,809,689.00","937,505,042,630.09"
2023-12-12,476.57,+10.30,+2.21%,460.46,460.46,476.66,"37,238,686","17,555,968,305.00","915,931,232,941.09"
2023-12-11,466.27,-8.79,-1.85%,474.91,458.30,475.31,"50,972,809","23,718,960,295.00","898,375,264,636.09"
2023-12-08,475.06,+9.10,+1.95%,465.95,465.50,477.41,"35,922,370","17,024,570,502.00","922,094,224,931.09"
2023-12-07,465.96,+10.93,+2.40%,457.00,456.04,466.29,"35,082,255","16,233,774,825.00","905,069,654,429.09"
2023-12-06,455.03,-10.63,-2.28%,472.15,454.12,473.87,"38,058,955","17,596,915,876.00","888,835,879,604.09"
2023-12-05,465.66,+10.56,+2.32%,454.66,452.71,466.00,"37,171,762","17,156,816,500.00","906,432,795,480.09"
2023-12-04,455.10,-12.55,-2.68%,460.77,450.10,460.77,"43,754,344","19,880,383,922.00","889,275,978,980.09"
2023-12-01,467.65,-0.05,-0.01%,465.25,461.87,472.00,"36,931,701","17,263,620,912.00","909,156,362,902.09"
2023-11-30,467.70,-13.70,-2.85%,480.24,464.22,481.10,"52,624,663","24,716,435,355.00","926,419,983,814.09"
2023-11-29,481.40,+3.19,+0.67%,483.79,478.60,487.62,"38,200,465","18,428,289,685.00","951,136,419,169.09"
2023-11-28,478.21,-4.21,-0.87%,482.36,474.73,483.23,"40,149,085","19,198,222,302.00","932,708,129,484.09"
2023-11-27,482.42,+4.66,+0.98%,478.00,476.52,485.30,"39,566,190","19,064,534,828.00","951,906,351,786.09"
