Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,167.67,-6.18,-3.55%,171.20,166.97,171.39,"12,731,739","2,143,986,911.00","78,450,500,651.28"
2024-02-08,173.85,+2.38,+1.39%,171.72,171.41,174.10,"9,269,699","1,607,507,609.00","80,594,487,562.28"
2024-02-07,171.47,+0.05,+0.03%,172.63,171.38,172.90,"5,769,679","991,409,529.00","78,986,979,953.28"
2024-02-06,171.42,+0.50,+0.29%,171.45,169.94,171.83,"5,182,879","887,545,050.00","77,995,570,424.28"
2024-02-05,170.92,-0.05,-0.03%,170.55,169.05,171.58,"5,142,706","878,610,740.00","77,108,025,374.28"
2024-02-02,170.97,-0.73,-0.43%,171.24,170.10,171.96,"5,307,883","907,559,304.00","77,986,636,114.28"
2024-02-01,171.70,+3.17,+1.88%,168.53,167.17,171.80,"4,920,789","840,948,402.00","78,894,195,418.28"
2024-01-31,168.53,-1.09,-0.64%,169.96,167.88,170.38,"5,769,214","974,336,003.00","78,053,247,016.28"
2024-01-30,169.62,+1.47,+0.87%,167.67,167.32,169.70,"4,804,243","811,619,392.00","79,027,583,019.28"
2024-01-29,168.15,+0.29,+0.17%,167.53,167.39,168.70,"5,713,559","960,369,558.00","78,215,963,627.28"
2024-01-26,167.86,+1.30,+0.78%,166.60,166.60,168.03,"4,848,987","812,435,392.00","77,255,594,069.28"
2024-01-25,166.56,+0.96,+0.58%,165.81,164.94,166.60,"5,373,787","890,974,103.00","76,443,158,677.28"
2024-01-24,165.60,-2.04,-1.22%,167.64,165.52,167.74,"4,984,700","828,081,398.00","75,552,184,574.28"
2024-01-23,167.64,+2.53,+1.53%,164.56,164.36,167.93,"4,932,727","823,565,937.00","76,380,265,972.28"
2024-01-22,165.11,-0.67,-0.40%,165.96,165.02,166.71,"5,697,428","942,611,987.00","75,556,700,035.28"
2024-01-19,165.78,-1.39,-0.83%,167.14,165.57,167.24,"6,528,578","1,084,576,885.00","76,499,312,022.28"
2024-01-18,167.17,+0.73,+0.44%,165.47,164.99,167.28,"4,709,362","784,199,112.00","77,583,888,907.28"
2024-01-17,166.44,+0.27,+0.16%,165.99,165.44,166.73,"4,392,400","730,438,985.00","76,799,689,795.28"
2024-01-16,166.17,-1.10,-0.66%,167.27,165.19,167.52,"4,576,842","760,622,159.00","76,069,250,810.28"
2024-01-12,167.27,+1.14,+0.69%,166.34,165.57,167.38,"3,546,260","591,279,279.00","76,829,872,969.28"
2024-01-11,166.13,-0.79,-0.47%,167.14,164.82,167.14,"4,800,727","795,663,667.00","76,238,593,690.28"
2024-01-10,166.92,-0.25,-0.15%,166.59,166.20,167.96,"4,394,876","733,666,932.00","77,034,257,357.28"
2024-01-09,167.17,-1.94,-1.15%,167.79,165.93,167.89,"6,268,763","1,045,996,916.00","77,767,924,289.28"
2024-01-08,169.11,+0.17,+0.10%,168.94,167.79,169.73,"5,735,563","968,946,926.00","78,813,921,205.28"
2024-01-05,168.94,-2.53,-1.48%,171.57,167.56,171.57,"5,252,478","888,832,898.00","77,844,974,279.28"
2024-01-04,171.47,-1.48,-0.86%,171.61,170.58,173.53,"6,283,225","1,079,843,037.00","78,733,807,177.28"
2024-01-03,172.95,+0.04,+0.02%,175.00,172.70,175.20,"5,588,224","967,669,172.00","79,813,650,214.28"
2024-01-02,172.91,+3.07,+1.81%,169.52,169.19,172.99,"5,743,112","989,836,245.00","78,845,981,042.28"
