Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,97.30,+0.71,+0.74%,96.32,96.29,97.99,"9,385,584","914,137,076.00","18,002,971,060.83"
2024-02-08,96.59,+1.28,+1.34%,95.10,93.93,96.69,"9,888,133","946,573,819.00","17,088,833,984.83"
2024-02-07,95.31,-0.36,-0.38%,96.24,94.43,96.66,"9,077,973","864,578,866.00","16,142,260,165.83"
2024-02-06,95.67,+3.16,+3.42%,92.50,92.35,95.70,"11,531,490","1,094,983,286.00","17,006,839,031.83"
2024-02-05,92.51,-0.48,-0.52%,92.78,91.90,92.87,"7,335,836","678,389,476.00","15,911,855,745.83"
2024-02-02,92.99,-0.38,-0.41%,92.69,91.67,93.61,"11,366,586","1,054,360,471.00","16,590,245,221.83"
2024-02-01,93.37,+0.34,+0.37%,93.10,91.87,93.60,"15,001,463","1,393,264,777.00","17,644,605,692.83"
2024-01-31,93.03,-1.05,-1.12%,98.28,93.02,98.36,"26,751,776","2,529,938,957.00","16,251,340,915.83"
2024-01-30,94.08,+0.28,+0.30%,93.00,92.59,94.68,"17,625,242","1,662,212,541.00","18,781,279,872.83"
2024-01-29,93.80,+1.00,+1.08%,93.02,92.24,93.93,"12,728,066","1,186,927,372.00","17,119,067,331.83"
2024-01-26,92.80,+0.19,+0.21%,92.92,92.41,93.49,"9,229,443","857,193,549.00","15,932,139,959.83"
2024-01-25,92.61,+0.57,+0.62%,92.22,91.72,92.65,"11,991,465","1,106,002,721.00","15,074,946,410.83"
2024-01-24,92.04,+0.07,+0.08%,92.55,91.99,92.84,"7,661,364","707,189,743.00","13,968,943,689.83"
2024-01-23,91.97,-1.10,-1.18%,93.03,91.77,93.65,"10,227,077","945,325,422.00","13,261,753,946.83"
2024-01-22,93.07,-0.79,-0.84%,93.80,92.81,93.92,"9,420,979","878,208,950.00","14,207,079,368.83"
2024-01-19,93.86,+0.52,+0.56%,93.18,92.64,94.24,"9,565,850","895,856,371.00","15,085,288,318.83"
2024-01-18,93.34,+1.57,+1.71%,91.96,91.82,93.43,"7,549,528","701,716,227.00","14,189,431,947.83"
2024-01-17,91.77,-0.93,-1.00%,91.66,91.40,91.96,"6,672,876","611,736,021.00","13,487,715,720.83"
2024-01-16,92.70,+0.72,+0.78%,92.66,91.73,92.73,"7,493,443","691,946,797.00","14,099,451,741.83"
2024-01-12,91.98,-0.96,-1.03%,93.23,91.77,93.40,"5,641,163","519,836,088.00","13,407,504,944.83"
2024-01-11,92.94,-0.56,-0.60%,93.33,91.90,93.64,"6,483,610","600,505,110.00","13,927,341,032.83"
2024-01-10,93.50,+0.41,+0.44%,93.01,92.88,93.69,"5,847,748","545,884,301.00","14,527,846,142.83"
2024-01-09,93.09,-1.10,-1.17%,93.61,92.86,93.73,"6,348,458","591,056,350.00","13,981,961,841.83"
2024-01-08,94.19,+1.20,+1.29%,93.02,92.95,94.57,"7,536,873","707,563,177.00","14,573,018,191.83"
2024-01-05,92.99,-0.56,-0.60%,93.33,92.48,93.58,"7,191,023","669,135,061.00","13,865,455,014.83"
2024-01-04,93.55,+0.32,+0.34%,93.10,93.00,94.58,"7,118,640","667,876,880.00","14,534,590,075.83"
2024-01-03,93.23,-0.44,-0.47%,93.96,93.06,94.24,"7,161,677","669,610,037.00","13,866,713,195.83"
2024-01-02,93.67,-2.34,-2.44%,95.45,93.62,95.95,"8,859,654","834,418,189.00","14,536,323,232.83"
2023-12-29,96.01,+0.08,+0.08%,95.88,95.35,96.35,"6,135,654","588,435,863.00","15,370,741,421.83"
2023-12-28,95.93,+0.64,+0.67%,95.50,95.11,95.97,"4,518,319","432,349,048.00","14,782,305,558.83"
2023-12-27,95.29,-0.38,-0.40%,95.69,94.79,95.78,"4,959,279","471,864,881.00","14,349,956,510.83"
2023-12-26,95.67,+0.39,+0.41%,95.34,94.96,95.69,"3,709,492","353,829,139.00","14,821,821,391.83"
2023-12-22,95.28,-0.05,-0.05%,94.89,94.34,95.83,"6,361,013","606,454,772.00","14,467,992,252.83"
2023-12-21,95.33,+0.62,+0.65%,95.08,94.47,95.44,"7,097,160","674,573,074.00","15,074,447,024.83"
2023-12-20,94.71,-3.01,-3.08%,96.36,94.65,96.88,"10,057,368","961,587,969.00","14,399,873,950.83"
