Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,193.57,+4.01,+2.12%,190.18,189.48,194.12,"84,476,347","16,262,303,071.00","2,255,341,886,700.15"
2024-02-08,189.56,+1.98,+1.06%,189.00,185.58,191.62,"83,034,043","15,715,323,521.00","2,239,079,583,629.15"
2024-02-07,187.58,+2.48,+1.34%,188.18,182.68,189.79,"111,535,217","20,876,384,745.00","2,223,364,260,108.15"
2024-02-06,185.10,+4.04,+2.23%,177.21,177.11,186.49,"122,675,954","22,497,019,272.00","2,202,487,875,363.15"
2024-02-05,181.06,-6.85,-3.65%,184.26,175.01,184.68,"134,294,447","24,169,992,220.00","2,179,990,856,091.15"
2024-02-02,187.91,-0.95,-0.50%,185.04,182.00,188.69,"110,612,672","20,471,506,810.00","2,204,160,848,311.15"
2024-02-01,188.86,+1.57,+0.84%,188.50,184.28,189.88,"91,843,275","17,202,206,174.00","2,224,632,355,121.15"
2024-01-31,187.29,-4.30,-2.24%,187.00,185.85,193.97,"103,221,430","19,585,022,766.00","2,207,430,148,947.15"
2024-01-30,191.59,+0.66,+0.35%,195.33,190.61,196.36,"109,982,327","21,204,313,123.00","2,227,015,171,713.15"
2024-01-29,190.93,+7.68,+4.19%,185.63,183.67,191.48,"125,013,148","23,511,552,275.00","2,205,810,858,590.15"
2024-01-26,183.25,+0.62,+0.34%,185.50,182.10,186.78,"107,343,231","19,749,074,277.00","2,182,299,306,315.15"
2024-01-25,182.63,-25.20,-12.13%,189.70,180.06,193.00,"198,076,787","36,676,169,311.00","2,162,550,232,038.15"
2024-01-24,207.83,-1.31,-0.63%,211.88,206.77,212.73,"123,369,932","25,735,330,553.00","2,199,226,401,349.15"
2024-01-23,209.14,+0.34,+0.16%,211.30,207.75,215.65,"106,605,946","22,443,018,724.00","2,224,961,731,902.15"
2024-01-22,208.80,-3.39,-1.60%,212.26,206.27,217.80,"117,952,527","24,850,176,683.00","2,202,518,713,178.15"
2024-01-19,212.19,+0.31,+0.15%,209.99,207.56,213.19,"102,260,343","21,515,231,378.00","2,227,368,889,861.15"
2024-01-18,211.88,-3.67,-1.70%,216.88,208.74,217.45,"108,595,431","23,052,224,052.00","2,205,853,658,483.15"
2024-01-17,215.55,-4.36,-1.98%,214.86,212.01,215.67,"103,164,400","22,067,482,052.00","2,228,905,882,535.15"
2024-01-16,219.91,+1.02,+0.47%,215.10,212.18,223.49,"115,355,046","25,309,243,948.00","2,250,973,364,587.15"
2024-01-12,218.89,-8.33,-3.67%,220.08,217.15,225.34,"123,043,812","27,116,738,123.00","2,225,664,120,639.15"
2024-01-11,227.22,-6.72,-2.87%,230.57,225.37,230.93,"105,873,612","24,098,375,307.00","2,252,780,858,762.15"
2024-01-10,233.94,-1.02,-0.43%,235.10,231.29,235.50,"91,628,502","21,395,032,038.00","2,276,879,234,069.15"
2024-01-09,234.96,-5.49,-2.28%,238.11,232.04,238.96,"96,705,664","22,696,907,307.00","2,298,274,266,107.15"
2024-01-08,240.45,+2.96,+1.25%,236.14,235.30,241.25,"85,166,580","20,320,414,599.00","2,320,971,173,414.15"
2024-01-05,237.49,-0.44,-0.18%,236.86,234.90,240.12,"92,488,939","22,002,295,664.00","2,300,650,758,815.15"
2024-01-04,237.93,-0.52,-0.22%,239.25,237.73,242.70,"102,629,283","24,661,700,651.00","2,322,653,054,479.15"
2024-01-03,238.45,-9.97,-4.01%,244.98,236.32,245.68,"121,082,599","29,037,628,574.00","2,347,314,755,130.15"
2024-01-02,248.42,-0.06,-0.02%,250.08,244.41,251.25,"104,654,163","25,990,337,053.00","2,376,352,383,704.15"
2023-12-29,248.48,-4.70,-1.86%,255.10,247.43,255.19,"100,891,578","25,258,762,724.00","2,402,342,720,757.15"
2023-12-28,253.18,-8.26,-3.16%,263.66,252.71,265.13,"113,619,943","29,369,826,682.00","2,427,601,483,481.15"
2023-12-27,261.44,+4.83,+1.88%,258.35,257.52,263.34,"106,494,359","27,872,405,649.00","2,456,971,310,163.15"
2023-12-26,256.61,+4.07,+1.61%,254.49,252.91,257.97,"86,892,382","22,276,768,435.00","2,429,098,904,514.15"
2023-12-22,252.54,-1.96,-0.77%,256.76,251.37,258.22,"93,370,094","23,825,911,080.00","2,406,822,136,079.15"
2023-12-21,254.50,+7.36,+2.98%,251.90,248.55,254.80,"109,594,227","27,622,731,982.00","2,430,648,047,159.15"
2023-12-20,247.14,-10.08,-3.92%,256.41,247.00,259.84,"125,096,987","31,833,009,620.00","2,403,025,315,177.15"
2023-12-19,257.22,+5.14,+2.04%,253.48,253.01,258.34,"106,737,369","27,345,282,686.00","2,434,858,324,797.15"
2023-12-18,252.08,-1.42,-0.56%,253.78,251.36,258.74,"116,416,490","29,678,898,321.00","2,407,513,042,111.15"
2023-12-15,253.50,+2.45,+0.98%,251.21,248.30,254.13,"135,932,762","34,260,535,762.00","2,437,191,940,432.15"
2023-12-14,251.05,+11.76,+4.91%,241.22,240.79,253.88,"160,829,239","40,005,966,950.00","2,402,931,404,670.15"
2023-12-13,239.29,+2.28,+0.96%,234.19,228.20,240.30,"146,286,348","34,209,424,355.00","2,362,925,437,720.15"
2023-12-12,237.01,-2.73,-1.14%,238.55,233.87,238.99,"95,328,313","22,483,156,219.00","2,328,716,013,365.15"
2023-12-11,239.74,-4.10,-1.68%,242.74,237.45,243.44,"97,913,888","23,517,090,624.00","2,351,199,169,584.15"
2023-12-08,243.84,+1.20,+0.49%,240.27,239.27,245.27,"103,126,829","25,060,599,358.00","2,374,716,260,208.15"
2023-12-07,242.64,+3.27,+1.37%,241.55,236.98,244.08,"107,142,262","25,810,436,588.00","2,349,655,660,850.15"
2023-12-06,239.37,+0.65,+0.27%,242.92,239.17,246.57,"126,436,179","30,768,589,339.00","2,323,845,224,262.15"
2023-12-05,238.72,+3.14,+1.33%,233.87,233.70,246.66,"137,971,115","33,256,129,579.00","2,293,076,634,923.15"
2023-12-04,235.58,-3.25,-1.36%,235.75,233.29,239.37,"104,099,817","24,612,266,071.00","2,259,820,505,344.15"
2023-12-01,238.83,-1.25,-0.52%,233.14,231.90,240.19,"121,331,709","28,692,405,521.00","2,284,432,771,415.15"
2023-11-30,240.08,-4.06,-1.66%,245.14,236.91,245.22,"132,353,196","31,856,253,663.00","2,313,125,176,936.15"
2023-11-29,244.14,-2.58,-1.05%,249.21,242.76,252.75,"135,401,335","33,586,578,525.00","2,344,981,430,599.15"
2023-11-28,246.72,+10.64,+4.51%,236.68,234.01,247.00,"148,549,913","35,819,373,369.00","2,378,568,009,124.15"
2023-11-27,236.08,+0.63,+0.27%,236.89,232.10,238.33,"112,031,763","26,397,220,995.00","2,342,748,635,755.15"
2023-11-24,235.45,+1.24,+0.53%,233.75,232.33,238.75,"65,125,203","15,395,585,484.00","2,316,351,414,760.15"
2023-11-22,234.21,-6.99,-2.90%,242.04,231.40,244.01,"118,117,078","27,725,749,186.00","2,300,955,829,276.15"
2023-11-21,241.20,+5.60,+2.38%,235.04,233.34,243.62,"122,288,000","29,457,892,008.00","2,328,681,578,462.15"
2023-11-20,235.60,+1.30,+0.55%,234.04,231.02,237.10,"116,562,402","27,302,219,296.00","2,299,223,686,454.15"
2023-11-17,234.30,+0.71,+0.30%,232.00,226.54,237.39,"142,766,234","33,304,410,892.00","2,271,921,467,158.15"
2023-11-16,233.59,-9.25,-3.81%,239.49,230.96,240.88,"136,816,819","32,223,180,166.00","2,238,617,056,266.15"
