Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2024-02-09,169.28,-0.09,-0.05%,169.39,168.92,169.73,"4,776,622","808,719,522.00","40,691,681,984.45"
2024-02-08,169.37,-0.01,-0.01%,169.38,169.14,170.55,"4,809,309","815,938,025.00","41,500,401,506.45"
2024-02-07,169.38,-0.43,-0.25%,170.27,169.20,170.66,"5,694,155","966,701,270.00","42,316,339,531.45"
2024-02-06,169.81,+1.15,+0.68%,168.79,168.34,169.95,"4,729,928","801,399,909.00","43,283,040,801.45"
2024-02-05,168.66,-0.91,-0.54%,170.01,168.07,170.01,"6,381,690","1,077,702,990.00","42,481,640,892.45"
2024-02-02,169.57,+1.26,+0.75%,168.15,167.92,170.58,"7,223,562","1,222,862,192.00","43,559,343,882.45"
2024-02-01,168.31,+3.06,+1.85%,165.70,165.18,168.35,"6,930,851","1,160,995,419.00","42,336,481,690.45"
2024-01-31,165.25,-0.34,-0.21%,167.80,165.11,167.80,"8,711,625","1,446,084,089.00","41,175,486,271.45"
2024-01-30,165.59,+0.55,+0.33%,164.70,163.62,165.81,"5,090,004","841,621,350.00","42,621,570,360.45"
2024-01-29,165.04,+0.77,+0.47%,164.35,163.52,165.41,"6,080,104","1,000,420,321.00","41,779,949,010.45"
2024-01-26,164.27,+1.43,+0.88%,163.05,162.66,164.38,"5,248,770","859,965,168.00","40,779,528,689.45"
2024-01-25,162.84,+2.34,+1.46%,161.40,160.42,162.87,"5,456,534","883,681,616.00","39,919,563,521.45"
2024-01-24,160.50,-2.30,-1.41%,162.90,160.32,163.07,"7,644,287","1,233,441,883.00","39,035,881,905.45"
2024-01-23,162.80,+0.41,+0.25%,162.12,161.77,162.85,"4,022,172","653,285,444.00","40,269,323,788.45"
2024-01-22,162.39,+0.01,+0.01%,162.79,161.50,162.95,"4,646,127","753,792,307.00","39,616,038,344.45"
2024-01-19,162.38,-0.86,-0.53%,163.43,161.44,163.57,"6,391,765","1,038,107,345.00","38,862,246,037.45"
2024-01-18,163.24,+2.17,+1.35%,161.16,160.68,163.39,"6,063,537","984,425,066.00","39,900,353,382.45"
2024-01-17,161.07,-0.76,-0.47%,161.38,160.63,161.99,"4,942,554","796,907,658.00","38,915,928,316.45"
2024-01-16,161.83,+0.51,+0.32%,161.44,161.23,162.40,"5,677,530","918,119,269.00","39,712,835,974.45"
2024-01-12,161.32,+0.21,+0.13%,161.37,160.38,161.55,"4,542,989","731,472,954.00","38,794,716,705.45"
2024-01-11,161.11,-0.18,-0.11%,161.35,160.17,161.89,"4,785,069","769,701,649.00","38,063,243,751.45"
2024-01-10,161.29,+1.98,+1.24%,159.56,159.56,161.50,"6,707,346","1,080,098,483.00","38,832,945,400.45"
2024-01-09,159.31,+1.06,+0.67%,157.93,157.73,159.34,"7,774,126","1,233,947,282.00","37,752,846,917.45"
2024-01-08,158.25,+1.54,+0.98%,156.70,156.68,158.30,"6,893,626","1,088,348,244.00","36,518,899,635.45"
2024-01-05,156.71,-1.05,-0.67%,157.92,155.60,158.10,"7,236,501","1,132,646,769.00","35,430,551,391.45"
2024-01-04,157.76,-1.54,-0.97%,159.21,157.49,159.54,"6,427,490","1,016,934,203.00","36,563,198,160.45"
2024-01-03,159.30,+0.01,+0.01%,159.77,158.93,160.30,"6,252,020","996,869,489.00","37,580,132,363.45"
2024-01-02,159.29,+1.64,+1.04%,157.25,157.19,159.54,"7,846,559","1,247,664,909.00","36,583,262,874.45"
2023-12-29,157.65,+0.08,+0.05%,157.53,157.16,158.08,"7,316,066","1,153,815,254.00","35,335,597,965.45"
2023-12-28,157.57,-0.31,-0.20%,157.77,157.50,158.33,"5,592,022","882,254,292.00","34,181,782,711.45"
2023-12-27,157.88,+1.47,+0.94%,156.31,156.16,157.95,"6,631,988","1,045,240,059.00","35,064,037,003.45"
2023-12-26,156.41,-0.24,-0.15%,156.65,156.11,156.99,"3,893,321","609,104,147.00","34,018,796,944.45"
2023-12-22,156.65,+1.85,+1.20%,155.45,155.16,157.15,"6,468,547","1,013,631,136.00","34,627,901,091.45"
2023-12-21,154.80,+1.09,+0.71%,154.00,153.91,155.06,"6,695,928","1,035,368,102.00","33,614,269,955.45"
2023-12-20,153.71,-1.82,-1.17%,155.42,153.62,156.14,"7,322,567","1,133,361,501.00","32,578,901,853.45"
2023-12-19,155.53,+0.56,+0.36%,154.84,154.09,155.69,"8,139,031","1,261,880,746.00","33,712,263,354.45"
2023-12-18,154.97,+2.23,+1.46%,153.35,153.13,155.07,"8,772,004","1,355,405,495.00","32,450,382,608.45"
2023-12-15,152.74,+0.57,+0.37%,151.78,151.54,153.46,"23,334,529","3,559,959,850.00","31,094,977,113.45"
2023-12-14,152.17,-1.88,-1.22%,153.52,151.93,153.94,"10,297,085","1,569,093,055.00","27,535,017,263.45"
2023-12-13,154.05,+2.69,+1.78%,151.55,150.64,154.05,"11,782,893","1,801,635,017.00","29,104,110,318.45"
